,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.126883349294917,0.0857816568978001,0,0,0.400912331957221,-0.175662495233286,0.0478959140976734,0.022649584480824,0,0.302803741341044,-0.0925325491446884,0,0,0,0,0,0,-0.0261511406455787
ETH,0,0,0,0.175458790557054,0.0159773166157795,0,0.145322373891443,0.407779726179906,0.0689792850837516,0,0.0369994381384649,0,0.0147910668598809,0,0.17236490340664,-0.0708847606149623,0,0,0,0
XRP,0,0.326911670866598,0,0,0.123515712158443,0,0.372000681912488,0.413617114582525,0,0.226390420903981,0.204327173551725,0,-0.781093205902521,0,0,0,0,0,0,0
BCH,0,0.180962950194078,0,0,0.196247259942396,7.83505022966407e-05,0.143683116746391,0.228140130405347,0.0314727581639986,0,0,0.0615097664026434,0,0,0,0,0,0,0,0.0714322503335793
EOS,0.235862780770924,0.00510153023025238,0.00833436652058006,0,0,0.0981561618881608,0,0.204288022476535,0.083937610441373,0.156684032299117,-6.93889390390723e-18,0.194386126316869,0,0.151864598425468,0.0484739996087041,0,0,0,0,-0.152084621488139
XLM,0.00432345362504664,0,0.08619564669064,6.93889390390723e-18,0,0,0,0,0.226132587871066,0.0953024059655403,0.00896008876425788,0.305854501910319,-0.175125429816561,0.069656706410813,0.0900230736105099,0,0,0,0,0.0176309964160503
LTC,0.0530314808265229,0.27480971897134,0,0.153322563511209,0,0,0,0,0,0.199964422936745,0,0,0,0,0.0940990161918128,0,0,0,0,-0.00887004570206014
ADA,0,0,0,0.192476338148857,0,0.230515491778084,0,0,0.22114658060342,0,0.0703780375953248,0,0.158594040987347,0,0.110109049888222,0,0,0,0,0
XMR,0.156144331193162,0.174366237385706,0.0452046577809862,0.126509145729826,0.147475939097816,0.0483112457720761,0,0.0283312994600582,0,0.0715916634307361,0.0334803459905808,0,0.119175551208003,0,0.0272466310880876,0,0,0,0,0.0951025980441397
MIOTA,0,0,0.136782951303122,0,0,0.266033747815043,0.238418343183126,-0.377717512414209,0,0,0,0.514464937291505,0,0.472833533678375,-0.181747301597511,0,0,0,0,-0.00504275407761886
DASH,0,0.2357213651575,-0.0333910388635783,0,0,-0.0623130356093463,0,0.44754760963422,0.129138706003445,0,0,0,0.237415426968284,0.0776728440545041,0,0,0,0,0,-0.0205122510784317
TRX,0,0.259033020118314,0,0.0114527905696003,0.0370643497212069,0,0,0.331674430515115,-0.0814458370264909,0.00205120029998131,-0.0170379059878377,0,0,0.473784582098379,0,0,-0.223526968928803,0,0,0.00807398772221337
BNB,0,0.258224097295433,0,-0.065002386517556,0.114490917690441,-0.184860051951335,0,0.432719764257748,0,0.020975195015028,0.320732447088072,0,0,0,-0.14622004537737,0,0,0,0,-0.0804066418340302
NEO,0,0.0623855497072968,0.10639588069943,0.197218736004705,0,-0.0558088580616713,0.039395429737854,0.0930411530500628,0.100283759918153,0.20059928764369,0.0598249189091563,0,0.34910453097328,0,0,0,0,0,0,0
ETC,0,0.255058584478064,0,0,0.167327047438741,0.168748660365573,0,0.0544426056986424,0.0308482276314841,0.394189072336994,-0.0942829115933334,0,0,-0.249551520110991,0,0,-0.328969261586882,0,0,0.18407308768
BV010082.Index,0,0.0155181817900308,0.0192720320699867,0,0,-0.0580727218691895,-0.232631205375514,0,0,0.0328231256152198,0,0.0676852569719693,0.0972041590435437,0,0,0,0,0,0,-0.0537081782549731
CVIX.Index,0,-0.213244201411165,0.0483299388244009,0,0,0,-0.264694816820453,0.138554924852971,-0.025564662310526,0,0,0,0.435398919010158,-0.0900221869982411,0.184607638434223,0,0,0,0,0.0856327320223448
DXY.Curncy,0,0,-0.0139327829471738,0,0.0230804290478145,0,0,0,0.0159880654117444,0,0,-0.0372491183505387,0,0.0173596987316612,0,0,0.140057235565624,0,0,-0.027613304768675
SPX.Index,0,0,-0.00262584521278799,-0.00107847439302682,0.0041447277994883,-0.00130920856542415,0,0,0.0140523887139471,-0.0107144906852091,0,0,0,0,-0.0113724038389495,0,0,0,0,-0.0478204574354668
VIX.Index,0,0,-0.274603842688125,0.483761224122742,-0.218478163563441,0.0776750276094857,0.362009213118919,-0.0295853473091479,-0.191052960146657,0,-0.402052084273141,0.552149786826074,0,-0.304766210312662,-0.0994555829023655,0,0.418210298467356,0,0,0
