,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.155865412676693,0.130576719711532,0,0.0950800299918973,0.108843494037878,0.0163080633785411,0.0518790687271123,1.73472347597681e-18,0.132426446155764,0.0154679664839883,0,0,0,0,0,0,0.00828892881114738
ETH,0,0,0.102176644252837,0,0.274981589496781,-0.0342963199331439,3.46944695195361e-18,0,0,0,0,0.123843074120688,0,0.286617560973312,0.0887821802035373,0,0,0,0,-0.11959207887422
XRP,0,0,0,0,0,0.524199651097952,4.33680868994202e-19,0.0240009833805411,0,0,0.139204682489694,0,0.147700455595698,-0.117693293714339,0.00439501534914699,0,0,0,0,-0.0811947957167519
BCH,0,0,0,0,0.168550324023634,0,0.0777746184793907,0.271229753746753,0,0,-3.46944695195361e-18,0.379462701872027,1.73472347597681e-18,0,0.0737619167973839,0,0,0,0,-0.0552310529776678
LTC,0.240314917312352,0.0494263354655531,0,0.13826689190643,0,0.0621833013115038,0,0,0,0.0322789210986541,0,0,0.0345475376096132,0,0.208625649456688,0,0,0,0,0
ADA,0,0,0,0,0.174467247886308,0,0.26884011778121,0.17569632892293,0,0,0.0482367772026311,0.0901913277793848,0.0401126388985722,0.108242757283621,0.056308326375299,0,0,0,0,0.00671231170008775
EOS,0,0,0.21434024300981,0,0,0,0,0.149013481732318,0,0,0.13018931766982,0,0,-1.73472347597681e-18,0.394697909747021,0,0,0,0,-0.0384653145295737
NEO,0,0.560123949314129,0,0.126946721853934,0,0.115672724296978,0,0,0,0,6.93889390390723e-18,0,1.38777878078145e-17,0,0.25535479736334,0,0,0,0,-0.0660022100051815
XLM,0,0,0,0,0,0,0.041889819272357,0.0312482113276152,0,0.106785319322062,0,0.190366857880264,0.0171746284489069,0.278627652972527,0.175380935541808,0,0,0,0,-0.0109471213988472
MIOTA,0,0,0.0664256428375919,0.209879141288781,0.163130514502802,0,0.0210635523362586,0,-0.0374560882844558,0,0.131375869491905,0.337895184935669,0.123815630253288,0.0390384258522773,-0.0660128881873824,0,0,0,0,0
XMR,0.667735270208658,0,0,0,0.288851247749872,0.00532477658629286,0,0.231850978005084,0.143338875265541,0.0916075628719438,0,0.0635929139571039,-0.364088642407628,0.0317458127319375,0,0,0,0,0,0.0995706483523729
DASH,0.311268886050627,0.260253820413095,0,0.0762902404199083,0,0.134763131548369,0,0,0,3.46944695195361e-18,0.0444199179362365,0,0.0161629207198311,0.0674407003942867,0,0,0,0,0,0.0660127811990717
XEM,0,0,0.132528131778291,0,0.0947515934813048,0.343961680628284,0,0,0,-0.0402287308576341,0,0,0,0.285797159016536,0.073432059407405,0,-0.559580451075573,0,0,0.136949521620853
TRX,0,0,0,0.0856136577922394,0.0129786889059183,0,0.241018015951254,4.33680868994202e-19,0.198411300005252,0,0.0253304283722875,0,0.263885493819169,0,0.023636609844299,0,0,0,0,0.115569703028321
ETC,-0.0654286967458836,0,0.243168685302678,0.294721623337085,0.0131550971770414,0,0.31150940723582,0.121792819524137,0.134071939008989,0,-0.134724139256767,0,0,0,0,0,0,0,0,0.0657033568285234
BV010082.Index,0,-0.103107692607743,-0.0312810900814868,0.0258171543975551,0.041836106262524,0,0,0,0.0246550702764417,0.0302669001140114,0.0212073318376976,0.190610363186858,-0.0665137423457104,-0.139894033761548,0.0117778123463561,0,0,0,0,-0.016413271827495
CVIX.Index,0,-0.0889535520222675,0.0394311668191117,-0.150639903889118,0.0682580679859346,0.0911952320778016,-0.00954897281011884,0,0.15046719858986,0,0,0.180576457020483,-0.234585954899726,0,1.73472347597681e-18,0,0,0,0,0.068482026838242
DXY.Curncy,0.052161877636196,0.0122337456237102,0.0477881698713421,-0.0151116600943344,0,-0.0129027597190966,-0.0323480994427173,0,-0.0264079784060527,0.0217058626857426,-0.0362648904124816,0,-0.00938391324833133,-0.00264187067936496,0,0,-0.000119957563295014,0,0,0.0101743101741892
SPX.Index,0,0,-0.0572711029703986,0,0.027479980944628,0,0,0.0356616317744794,0,0,0.0282480301556225,0,0.0263004387014025,-0.0624869191296221,0,0,0,0,0,-0.0645274805569336
VIX.Index,-1.08321659365656,0,-0.0618179329881312,0.0585280591172041,0,0,0.2152276668215,0,0.120912049666574,0,0,0,0.0589375963154118,0.307154497266673,0.0219353085611767,-0.654464990717352,0,0,-4.65801904805295,0
