,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.126828860008936,0.0882337882147688,0.0958057511934529,-0.0069059191568485,0.452994107199166,-0.179209033838841,0.093486236551698,0.0515148978212625,0.196312550143655,0,-0.240262818107478,0,-0.0290372885815778,0,0,0,0,-0.0374437472972721
ETH,0.0168851057707034,0,-1.73472347597681e-18,0.164250193609475,0.00925735498175304,0,0.212783715283988,0.38597271210477,0.0416486031393118,-0.0220674596941055,0,0.0404532432850985,0.0426364884472932,4.33680868994202e-19,0.186022375332375,-0.0878294998980113,0,0,0,0
XRP,0,0.124379473972475,0,0,0.497371335262244,0,0.431242881845367,0.387500564388471,0,0,0,0.225748045632071,-0.704778398292103,0,0,0,0,0,0,0
BCH,0.0674125409218715,0.213924655403609,0.0242375422274981,0,0.154860810032777,0,0.0914267200016632,0.226226886855682,0.045067610448021,0,0.0801398543859005,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0699439694555515
EOS,0.266339164318646,0,0.0105297525410098,0,0,0.0853492434634168,0,0.204362502868438,0.0845182101424463,0.156240318549351,0.194962246113085,0,0,0.148861345286239,0.0494291120167253,0,0,0,0,-0.154096307284724
XLM,0,0,0.0889396740700484,0,0,0,0.00279606404224066,0,0.225512095950327,0.0911031866494586,0.318430317432564,0,-0.17216420688916,0.0703665080429347,0.0835617480826068,0,0,0,0,0.0200107701222745
LTC,0.0869932125018294,0.322938361088748,0,0.153626765417773,0,0,0,0,0,0.186151789053909,0.00369631064527655,0.0559787267659165,0,0,0,0,0,0,0,0
ADA,0,0,0.0735190366416997,0.159046497089915,0,0.126134556945131,0,0,0.181749690273322,0,-6.93889390390723e-18,1.38777878078145e-17,0.284171794446722,0,0.20314620736017,0,0,0,0,0
XMR,0,0.10481459175277,0.0585753612656857,0.18419569449041,0.050805815199775,0,0,-4.33680868994202e-19,0,0.146703838064291,0,0.0908580370852243,0,0.0511813308105227,0.154709900865056,0,0,0,0,0.0314953609064229
MIOTA,0.204393769109996,0,0,0,0,0.160871815882171,-1.38777878078145e-17,-0.156925884306323,0.0477377538168088,0,0.687825557604197,0,0,0.408062441160032,-0.0384861113278783,0,0,0,0,0
TRX,0,0.238603800237363,-0.104900626981979,-0.0404787538188812,0.110432597624311,-0.00960089881029422,0,0.285092627503964,-0.16318765097485,0.250718870065803,0,-0.123761324538925,0,0.448734889344121,0,0,-0.264545282856043,0,0,0
DASH,0,0.279274354388982,-0.0279254607951262,0,0,0,0,0.29239796230813,0.113929973282396,0,0,0,0.191395494617087,0.166393615707342,6.93889390390723e-18,0,0,0,0,0
BNB,0,0.179174556725868,0,-6.93889390390723e-18,0.106655640079355,-0.232245085197905,0,0.493313324247551,0,0.0748957845235591,0.041685641984868,0.271344995458905,0,0,-0.233725645810436,0,0,0,0,-0.0638789018777537
NEO,0,0.0579274662624308,0.11044492266283,0.194591523095932,0,-0.0528344816584276,0.0718969764625607,0.0738245028471909,0.0846813240227408,0.193384789510929,0,0.0672227431783687,0.362688346164242,0,0,0,0,0,0,0
ETC,0,0.184179788205416,0,0,0.301939736117941,0.146048214539289,0,0.022537317326362,0.00604655365822494,0.27652437136211,0.120137177571834,0,0,-0.344406703710179,0,0,-0.25072488860708,0,0,0.121706169911653
BV010082.Index,-0.0094597152638078,0,0,0,-0.0623793340820584,-0.0682596939227691,-0.184190382846739,0,0,8.67361737988404e-19,0.13692346201192,0.00288822087115986,0.143284866313205,0,0,0,-0.0112144497152882,0,0,-0.0535768565418979
CVIX.Index,0,0,0.071297128039891,0,0,0,-0.223948642960863,0,-0.171975438162688,0,0,-0.0142882765395451,0.514613898439777,-0.0211321506634501,0,0,0,0,0,0.0779716278295662
DXY.Curncy,0.00888986083634978,0,-0.0177306451978598,0,0.0328136538672498,0,0,0,0.00966811689602449,-0.0106872275637127,-0.0323799294340085,0,-0.0054951064371742,0.0233417129570178,0,0,0.122703794365047,0,0,-0.0148819391166508
SPX.Index,0,0.00846927854731316,-0.00468376150861064,0,0.0154014061733328,-0.00590685619322088,-0.000944229811765482,0,0.00949442371062275,-0.0125454182650527,0,0,0,-0.00735546237192649,-0.00803407834133991,0,0,0,0,-0.0479416980136783
VIX.Index,0,0,-0.0476058590717626,0.484649718675712,-0.248147709722148,0.021275325105144,0,4.33680868994202e-19,-0.28085531676135,0.113948222246219,0,-0.366846668929833,0.323480501617108,-0.135936060324589,0,-0.771921505616084,0.167394130554685,0,0,0
