,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0241052654987505,0,0.0444654353402241,0.0348447284770422,0.107842792588324,-0.106675957790676,-0.0092220885302736,0.0166093473325276,0.0199560446980118,0.11101241294881,0,0,0,0,-0.068650786780026
ETH,0,0,-0.0148939363711308,-0.0877319145299266,0.20747246879333,-0.0394573420911072,-0.0771746372857105,0.130747331087771,0.0657974072718352,0.0444727409519973,0,0,0.0547320835556303,0,0,0,0,0
XRP,-1.11170627266792,0.0507550562629648,0,-0.183021588012599,0,-0.000390048812920041,-0.985865695002249,0.567524658780116,0.631607657121779,0.423668648118279,0,-0.723009325437385,0.273168537101839,0,0,0,0,0
XEM,0,0,-0.0529977215845651,0,-0.371964850424466,0.160371693251992,0.0304617818362112,0.0266395284697709,0.146811798380149,0.313015982159188,-0.138921328949459,-0.0126821059648983,0.334547563590163,0,0.509374053353623,0,0,0
ETC,0,0.277320730219775,-0.0426790446335046,0.0296553736112844,0,0.189579503526482,0.225889716258583,0,0.0171169347667622,0.0947266264378908,-0.064997391516174,0,0,0,0,0,0,0.0404435066258282
LTC,0.678942891870105,-0.0564018731932211,0.00588909966208325,0.13868456551514,0,0,0.223222100302296,0,0.151870810571386,-0.0367651245958767,0.113677570562476,0,0.199191647634279,0,0,0,0,0
DASH,0,0,-0.141487532591424,0.16882474925789,0.103216957388807,0.0515144290736099,0,0,0.121628529601432,0.380462717062333,0,-0.0336607815716257,0.0274761996018482,1.05981075500743,0.139063168283574,0,0,-0.0135126729226468
XMR,0.237362248962723,0.413281797671471,-0.0326007505303588,0.176654864838657,-0.261429625312717,-0.0244064552197011,0.0304755010356681,0,0.189548240312743,0.124805508518521,-0.0859321497116373,-0.142623488267674,-0.0780486229061456,0,0,0,0,0
XLM,-2.01086117181906,-0.0609361334478574,0.349796832814993,0,3.46944695195361e-18,0,0.0381094545837392,0.480110385620658,0,0,0.314661880268228,0.145163544709145,0.324319152074152,0,0,0,0,0.105005394970733
ZEC,0.368384169908273,0.130450689877483,0.0362055019212049,0.028065352258559,0.142518405265654,-0.116820237097689,0.360871318606996,0,-0.0469193061988371,0,0.172260616035294,0.0491426959354032,-0.0625279258118272,0,0,0,0,0
DOGE,0,0.187608258679654,0,0.0937248946376849,0.0400400450265446,0.29726048069899,0,0,0.239186374289967,0.311725643114057,0,0.0382610966348559,0,0,0,0,0,0.32578326246089
DGB,-1.47691848773653,0,-0.122550905237501,-0.11478945015667,-0.670061341294605,-0.0722692226933522,-0.477494503008109,0.618992872857688,0.0306538901361362,-0.0228264908430424,0.384910087229564,0,0.679401714183279,0,0,0,0,0
NEO,0.859719136020883,0.574848594239361,0.146616168668847,0.0918642279763738,0.221510464010968,0.326575242177434,0.566134883930268,0.0850905917256177,-0.0671242317945473,0.0738685501567233,-0.0933970998886935,0.105198140705285,0,1.16359018620908,0,0,0,0
BV010082.Index,0,0,0,0,0,-0.0325688427301803,0,0,0.0153334742704827,0,0,0.0113454036010766,0.00370714680820446,0,0,0,0,-0.0395832013811959
CVIX.Index,0,0,0.028355662904866,-0.407560672771426,-0.367088613185212,0.0702353326816509,0.155459739511907,0.112450252395071,0.0340679816059568,0,-0.0480692455165074,0.0299460724786721,0.201275650234885,0,0,0,0,0.101667613081695
DXY.Curncy,0,0.0246173683531057,0.00166726815197205,-0.0191021275261291,0.00365989830461603,0,-0.0108986811987081,0.00730488711935015,0.00818556233611731,0,-0.0103774314488778,-0.00248631258248028,-0.000927794883624387,0,-0.00958034071701718,0,0,0.00794111842079417
SPX.Index,0,0.0105362720857842,0,-0.00686963576134871,0,0,0,0.00385933915490384,0.00514042965249382,-0.0140563717730245,-0.000900553784253992,0.00501612761231746,0,0,0,0,0,-0.0310252479147826
VIX.Index,0,0,0,-0.155710331764473,0.131230353039775,-0.0995479853793703,0,-0.00623934016153516,0.147929761094258,0,0,-0.17531095732209,0.0042828070185522,-1.88751119972666,-0.50806515634373,0,0,0
