,BTC,XRP,ETH,BCH,EOS,LTC,XLM,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0301363801585916,0,0,0.0644958190557375,0.158556793556139,0.0573012035816337,0,0,0.146179691695225,0.0183891104932988,0.0907270249569736,0.154110388925503,0.197425747717664,0,0,0,0,0
XRP,0,0,0.216434115943701,0.00369941148333662,0.0726052954342452,0.0746882895339139,0,0,0,0.0243934303439143,0.141243196960972,0,0,0.0321374635437283,0.240817008483003,0,0,0,0,0
ETH,0,0.317340202875299,0,0.139771218578342,0.0700107346917547,0,0,0.0801850967865905,0,0,0.17422687303766,0.167023243008867,0,0.0374458355979288,0,0,0,0,0,0
BCH,0,-0.589329635943591,0,0,0.465905790015849,0,0.231732367862477,0.0483311833954725,0.0861363959389816,0,0.00266448503938188,0.0672865395065985,0,0.352476843907055,0.383439424282087,0,0,0,0,0
EOS,0,0,0.254427257185946,0.0540375626241893,0,0,0,-0.315036938389701,0,0.556514493119293,0.173666094550099,0,0,0.136069599563737,-0.0770096691878883,0,0,0,0,0.0412155629000089
LTC,0.124307354198904,0,0.254916831757896,0.020092482594077,0.235509107640303,0,0.195107025811225,0,0.120093413370016,1.73472347597681e-18,0.106915869259777,0,0,-0.0572557225996473,-0.146607284076511,0,0,0,0,-0.0974067492397517
XLM,0.725899907752869,0,0,0,0.131993187465406,0,0,0.0973012112242061,-0.0268557717146699,0.0316613518955421,0.00831857365843062,0.0517278954483821,0.0909003984195945,-0.0393536867140368,0.145486374061497,0,0.215903688667363,0,0,0.0251079889548024
TRX,0,0,0.126062788162405,0.0388931948476569,-0.257259902646115,0,0,0,-0.0563872452900461,0.499304404529271,0.360731906745624,0,0.101618728303604,0,0.0914060627348066,0,0,0,0,0.161427278495756
BSV,0,0,0,0.666620546968059,0.503047544852233,0,0,0.187015943027444,0,0,0,0.0198537916626357,-0.491245701875864,0.0945754917063079,-0.674690972285365,0.580110863833364,0.358226811462139,0,0,-0.0509539241401183
ADA,0,0.0781978907717531,0.124665122305355,0.121453400160097,0.243940559693743,0.0952626469022516,0,0.150474723020505,-0.0438644623200792,0,-0.030873206353778,0.108492741634915,0.1077018871728,0,0,0,0,0,0,-0.0237393221680216
BNB,0,0,0,0.0374557966197157,0.150742643985708,0.13888224840212,0.396429144636784,0,-0.172436981701458,0.245218710347427,0,-0.0338077682703699,0,0.135775498664883,-0.162949060130918,0,-0.278425981731662,0,0,0.0179321031588242
MIOTA,0,0,0,0,0.180675402083518,0,0.145822773509406,0,0.0897541365520689,0,0.26285174509082,0,0,0,0.450582548915689,0,0.591495350679769,0,0,-0.0492336565281852
XMR,0,0,0.196507075632735,0.0401834167984382,0.0417189419913064,0.0644617117833825,0.317600763032217,0,0,0.138994635071094,0,0,0,0.0465361111293512,0,0,0,0,0,-0.0511676417696043
DASH,0,0,0,-0.113122030043966,0.100758990857281,0.233860862831033,0.506994187809406,-0.0845204372421679,-0.0419416055961719,-0.214713965004488,0.134829834825562,0.151739383013709,0.608250819450501,0,-0.250901893005303,0,0,0,0,-0.0395993083818019
XEM,0,0.425113078605733,0,0.0340710792322457,-0.0794207903843397,0,0.157828955739689,0.121787507591245,0.0977119235992279,0,0,0,0.300909035902521,-0.0596863696682116,0,0,0,0,0,-0.124770552031434
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255782753923306
CVIX.Index,0,0,0.275702172549214,0,-0.172316407154978,0,0.161675479212743,-0.337783520404302,0.0357633738829889,0,-0.184200865633212,0.109395606410711,-0.271377716819765,0.207780045958108,0,-0.278189048702114,0,0,0,-0.0109579190219209
DXY.Curncy,0,0,0,0,7.98788784228937e-06,0,0,-0.0479096917706205,4.54095661732966e-06,0.0151986740637677,-0.00644127163291373,0,0,0.000961277338453639,0.0449456869509462,0.0599295838165893,-0.0124537510697909,0,0,0.00850884854013341
SPX.Index,0,0,-0.0200198257924821,0,0,0,0,0.0250343116452758,0.00733392639210468,-0.0339933899581984,-0.0157860696686855,-0.00188342621051178,0,-0.0235127072926188,0.0424167583823262,0.0920196779116012,-0.0893618937179723,0,0,-0.138565960181981
VIX.Index,0,0,-0.466475049369808,-0.0732069618173214,0.000215295642892077,0,0,0.245939318053389,0,0.367609023588171,0,0.146128552626565,-0.331878507808582,0,0,0,-0.633332345824983,0,-4.53614921013891,0
