,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0347763668301933,0,-0.0809199532341674,-0.165808031402402,0.0732642349025282,0,-0.0165083991971723,-0.0635881473246983,0.0230911506350372,0,0.141661503278969,0.303490200379819,0.0464663705048115,0,0,0,0,0
ETH,0.073647032610034,0,-0.0362507701400373,-0.0399435330565196,0,0,0.0223613730142307,0,0.0923324218209688,0.00512939929873587,0.0921094266124949,0.0371395046797549,0.207121526556988,-0.0532905415208459,0.133022984671109,0,-0.133906303686156,0,0,0.280751659446116
BCH,0,0,0,-0.061119100390254,0,-0.153742081123948,0,0,0.0675599220171273,0,0.496540542367147,0.273893923875949,0.214147646799621,0,0,0,0,0,0,-1.13533219178049
XRP,0,0.50699790655771,0.149400295362153,0,0.0283758414852474,0.103933649067444,-0.0811966405901168,-0.253550866016323,0,0.351361749251173,0.141827088624243,-0.0615663761166319,0,-0.139807972022507,0.0455364388268426,0,0.32190736533685,0,0,0
LTC,0.0631394539372412,0.338608016942964,-0.121590526063672,-0.00144024020293236,0,0,0.162352786512946,0.0284085437423789,0,-0.11817923829865,-0.0153877271315162,0,0,0,0.16971491007604,0,0,0,0,-0.171458561868659
ADA,0,0.482953561816237,-0.171144508534357,0.106296728567372,0,0,0,0.0908478017990712,0.151184640566938,0,-0.192574527449215,0.174575962714778,0.254374145944878,0.309317814640748,0,0,0,0,0,0
MIOTA,0.397410650674176,0,0,0,0.0469428523493241,-0.1565956921428,0,0,0,0.196470566804906,0.032701160937784,-0.0211352217474177,0,0.259331023430753,0.490869273631108,0,0,0,0,0
DASH,0,0.0477785064406402,0.108522582517102,0,0.262384868298577,0.0162108074608062,0.0546355339837466,0,0,0.18713944607374,0,0.017323573654818,0.0971729464516295,-0.0874774159082557,-1.73472347597681e-18,0,0,0,0,0
XEM,0,0,0,0.253265440013669,-0.422471018472811,0.0645306024384985,0.283043189037107,0.13109467921461,0,0,0.101766257167044,0,0.180756337069983,-0.0132125925225433,0.116732964575309,0,0,0,0,0
XMR,0.360815074917828,0,-0.0137254405448734,0.0304613356050278,0,0,0.0933321551917467,0.344097978990495,0,0,0,0.016017963049397,0.260222293192761,0.0863040156603298,0.219598088404384,0,0,0,0,0
EOS,0.395843773723418,0.343267700377887,0.0890391199556291,-0.117909063623571,0.113267432197983,-0.0259647603174189,1.73472347597681e-18,0,0.1572584632332,-0.389076711913183,0,0.202926002422924,-0.101679559887113,0.652717678464022,-0.160925988059966,0,0,0,0,0
BTG,0.189540795407866,0,1.02775460394275,0,0.713394380711802,0.0208056275520943,0,-0.340271698901887,0,0,-0.694263464957444,0,0.217867231598731,0,0.318689044805038,0,0,0,0,0
NEO,0,0.425363936808287,0,0,0.109557268599899,-3.46944695195361e-18,-0.192792067100933,0.0983612159899131,0,0.243567964880474,0.112234271244902,-0.0975363201541933,0,0,0.216194581717158,0,0,0,0,0
XLM,0,0,0,0.0718255011293254,0.078169019306429,0.319044956322112,0.0982008793371411,0,0.0123378787446601,0.146096360628703,0.0449451146042569,-0.032540487320291,0.152279985954127,0,0.139030616054117,0,0,0,0,0.0346468968726099
ETC,0.0984599471213232,0.307065075717312,0.239868973185123,0.0095427177847931,0,0.143222827511068,0.101044271090323,-0.248939686181702,0,0.3340846720014,0,0.12725625343841,0.0499917709452934,-0.0567673468248581,0,0,0,0,0,0
BV010082.Index,-0.0359827460196065,0,-0.0443766726088233,-0.00986954789024529,0.0193896082604889,-0.00359706183595227,0.0154318888035379,0.0137013454436565,0,0,0.00729553967791115,0,0,0,0,0,0,0,0,0
CVIX.Index,-0.0324038726937803,0.0456557361971421,-0.012987574428047,0,-0.00874465892051298,0,0.0504140842706769,0,0.0203854202090952,0,0.00101320081633834,-0.0137127211144999,0,-0.0140747237008088,0,0,0,0,0,0.0365145014636144
DXY.Curncy,-0.0264950035942177,0,-0.0164524364095188,-0.00164065375855099,0,0.000869087670606857,0.000628108311007779,0,0.00125036406693395,0.00562367711265992,0.00637215156498113,-0.006967696842282,0,0,0.00254413921416887,0,-0.102163869291247,0,0,-0.00286912718584729
SPX.Index,-0.00496992242639744,0.00189038497253144,0.00510871328793896,0.00557001793866515,0.00560308731920724,0,0.00811258775372509,0,0.00140123021238281,0,0,0,0,0,-0.00287080941553713,0,-0.0244676790412211,0,0,-0.0104032711095462
VIX.Index,0,0.0046950490624017,-0.305263883789999,0,0,-0.157488711103812,0.106197973751232,0.203779158510867,-0.0482022523930853,-0.295668221326771,0.113892976979766,0.0864876807142131,0.113419276231354,0.222367555064102,0.197178140694051,0,0,0,0,0
