,BTC,ETH,XRP,BCH,EOS,LTC,XLM,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.121636289632561,3.46944695195361e-18,0,0,0.0823907901334882,0.310131445082397,0.0931355945833762,0.0188006456837594,0.109188278309377,0,0,0,0,0
ETH,0,0,0.286130881401994,0.072209603423028,0.0261754010830591,0,0,0.0115816498733907,0.0779416590234917,0,0,0.33999965052345,0.0818668418097617,0.094454862040768,0,0,0,0,0,0.00965731740610226
XRP,0,0.107787506794889,0,0.0390577634374983,4.33680868994202e-19,0.223209351759848,0,-0.00953781210574753,0,0,0,0,0.0332676887746924,0.0607950839929699,0.266612383854064,0,0,0,0,0.0733757088199179
BCH,0,0.549586496762386,0,0,0,0.219596995148702,0,0.217216614799799,0,0.565718471934057,0.207567523678407,-0.423429022235651,0.334874643228013,-0.236045905960563,0,0,0,0,0,-0.163746679523681
EOS,0,0.0803544750126475,0.30674378016933,0.107308986160966,0,0.450260333192843,0,-0.0289898035511256,-0.371554569637817,0.386814655568354,0,0,0.202552483592888,0.121122601006083,-0.430323932953345,0,0,0,0,0.0527532324781073
LTC,0,0.260531559614157,0,0,0.183939649857052,0,0,0.0409905598858257,0.0280602234905111,0.0869654509361658,0,0,0.263024238795936,0,0,0,0,0,0,-0.0552145701916987
XLM,0.538670145105482,0,0.151424263266474,1.0842021724855e-19,0.095678301008198,0,0,0,0,0.116402407796446,0.0805064406428129,0.152144725935993,0.0340982552343543,-0.0265141599149001,0.0405652922710313,0,0,0,0,0
BSV,0.779826572567336,0.162469671756636,-1.92787888304311,0.995913700292058,0.264671961811182,0,-2.97427595256254,0,0,0.673883294723658,0.410919814421628,-0.389689565687551,1.1242481080555,0.460505901303993,0,0,0,0,0,0
TRX,0.454816023617587,0.0651443856166141,0.0436277177435897,0,-0.0174248942005957,-0.0896471073245254,0,0,0,0.251908624963521,0.102508671738591,0.0488096160871476,0.0749808634730358,0,0.0612714868478499,0,0,0,0,0
ADA,0,6.93889390390723e-18,0,0.109981902840948,0.287377509662899,0,0,-0.0142884120682199,0.282537936794936,0,0.133971748045199,0.133929503837706,0,0,0,0,0,0,0,-0.004158051507501
MIOTA,0,0,0,0.0137190542778152,0.190829128535065,0.0202984763607287,0.19779488345228,0.0734254198491981,0,0,0,0,0.172292774380811,0,0.362868598153045,0,0,0,0,0
XMR,0,0.143177191759384,0,6.93889390390723e-18,0,0.120711612897768,0.0469962501567108,0,0.164202653364519,0.282015837718468,0,0,0,0.281836921689135,0,0,0,0,0,0
BNB,0,0.110333599644695,0,0,0.313010781713924,0.0194651098390468,0,-0.0463616841711373,0.0409439966778273,0.655605639118579,-0.188826031157381,0,0,0.0604357901376068,0,0,0,0,0,0
DASH,0,0.0513586012727859,0,0,0,0.207905944480406,0.213556492127115,0,-0.20218321282068,0,0.2141241429538,0.472343032134321,0.123306771138251,0,0,0,0,0,0,-0.0301488099278968
XEM,0,0.0801436007612808,0,0.199438378680357,-0.111254977945944,0,0.368697791785267,0.0245440590817353,0,0.256399024944172,-0.0586978102433624,0,0,-0.0693720790779849,0,0.196929011379577,0,0,0,0.0133362407852392
BV010082.Index,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.Index,0,0,-0.055286354956731,0.0654656350070228,-0.125412730402434,-0.044016080405176,0.131713922447807,0.0222636377359194,-0.0859110143666965,0.0717627858059555,0.0828256027617455,-0.074081075609272,-0.0881507665980575,-1.73472347597681e-18,0.0461269620125236,0.164940283680798,0,0,0.496058923052667,0.156013045372939
DXY.Curncy,0,0,0,0.0018053923341853,0,0,0,0.00595072237010731,-0.0317515731862462,0,0,0,0,0.00488448870590593,0.0145428505255713,0.0506316768652978,0,0,0,0.00565213003883409
SPX.Index,-0.016623441151585,0,0,0,0,0.020445002000799,0,0.0147090957130483,-0.0332009244429095,0,-0.0324436232687783,0,-0.0184803761581235,-0.0103879236910896,0.0399898070330131,0.0308089165293366,0,0,0,-0.119008115229911
VIX.Index,0,0,0.130570674278937,0,0.418119253735918,0,-0.519250256747286,0,0,0,0,-0.30602130469566,0.261985122744689,0,0.300820211666334,0,0,0,-4.95384654451283,0
