,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0976321463721458,0.0258631269698565,0.155255742546049,0.113502306448459,-0.0196007696268422,0.0339902368203948,0,0.261627020169094,-0.035062200468637,0,0,0,0,0,-0.0552582380093951
ETH,-0.0700026882293526,0,0.0218375052441784,0,0.00887541958098429,0,0.296236207612584,0,0.0758900224542338,-0.0161216315943015,0.0713688135006322,0.0121789111003226,0,0,0.223660300755929,0,0,0,0,0
XRP,-0.178280847736094,-0.0214591399084915,0,0,0,0.319248030136428,0,0.323876354239087,0,0.168034704507728,0,0.246264290839871,0,0.0605760619481575,0.103261707440183,0,0,0,0,0.190473923758251
BCH,0.0706499053937987,0.100377551708025,-0.0907042607971089,0,-0.0424726049420753,0,0,0,0.217921443013577,0.134731072229046,8.67361737988404e-19,0.148329584621055,0.17931107342356,0.0697535480263954,0.0948170444445971,0,0,0,0,0.337026631879686
ADA,0,0,0.212154536244101,0.0084680503854158,0,0.276216383920769,0.0565586294339953,0,0.323926979379541,0.109231603246789,0,0,0,0.0447206003418891,0.0301400205508334,0,0,0,0,0
XLM,0,0,0.279895499311233,0,0.207734360328927,0,0.0679665414345335,0,0.154837157465327,0.0198679973095009,0.0759379691879868,0,0.261335984696823,-0.174844867773785,0,0,0,0,0,0
LTC,0.193611939318677,0.186216401944988,0,-0.0128848164969675,0,-8.67361737988404e-19,0,0.0706605723392068,0,0,0.167389952040485,0,-0.0148591947541276,0.0191003093897428,0,0,0,0,0,0
EOS,0,0.164209066797039,-0.0211117498166652,0,-0.00317715583756416,0.256323411601669,0.24112937391323,0,-0.0627516342666469,0.082460065239366,-0.0713383035137746,0,0,0.107333994031359,0.370480509577282,0,0,0,0,0
NEO,0.222655974943403,0.92930534109357,0.0106752015645593,-0.0264068677028419,0.0268720008640313,0.107915246230487,-0.120803634288474,-0.0667766756916572,0,0,-0.0791097346319965,0.0728173361811884,0,0,0.038795721221156,0,0,0,0,0
XEM,0,0,0.265551873372115,0.133772293362453,0.0341343769897518,0,-0.0800399816816857,0.0346090700829865,0.238015014628975,0,0.216591334285427,0,0,0,0.0562571379626597,0,0,0,0,0
MIOTA,0.268472559076492,0,-0.232089978277721,-6.93889390390723e-18,0,0.224414615840937,-0.0681056337771239,0.389819708725739,0.0285330275718897,0.11072830130556,0,-0.0135172417948721,0.217249348574532,-0.106052093702915,0.177764360474227,0,0,0,0,0
DASH,-0.0373567046110356,0,0.0524224390995212,0.083173910851987,0.0147655470528197,0,0.218584421572299,0.102519269550726,0,0.00511738299381463,0.0563728239185281,0,0.0905948947570364,-0.0271988769803043,0.104133197525878,0,0,0,0,0
XMR,0.137226760177047,0,0,0.032193329581232,0,0.0925825588395779,0.141027010959407,0,0.305879343189617,-0.0184243601054878,0.0700845721661561,0.0339352251806047,0,0.0699991989362414,0.167818448140176,0,0,0,0,0
TRX,1.50828822786187,0,0.10335109231797,0,0.260989024798408,0,-0.623765884637082,0,-0.0365033956752802,-0.754482811968727,0.184818609282144,0,0,0,0.355030999736248,0,0,0,0,0
BTG,0,0.232384475327301,0.062683139901193,0.439749418342284,0,0.0421754163206872,0,0.166465701862973,-0.0662766514977718,0.0554794330741666,0.0162930962711224,0,0,0.00950565933241695,0,0,0,0,0,0
BV010082.Index,-0.0483695094203856,-0.00097899770209868,-0.000232403772269695,0,-0.019256937627607,0,0.0240315440869573,-0.00863045385089392,-0.0361117065040783,-0.00241568745285549,0.0268454004758347,0,0.0390425964681878,0.00430770869728249,0,0,0,0,0,0
CVIX.Index,0,0,0.0249099402179741,0,0.0187280366505671,0,-0.0199370976517592,0.0278847738194404,-0.0127224684054878,0.020122269227833,0,0,-0.0579399342461644,-0.0209991118281964,-0.0429373293512138,0,0,0,0,-0.0250851533218368
DXY.Curncy,-0.0109370726650152,0,0.0053349724742664,-0.000635761177614035,0.00041562808560076,-0.0199051527345215,0,-0.00387162326754075,-5.42101086242752e-20,0,0.00815332588311085,-0.014487949585995,0.0343062311647966,0.000896198413726819,-0.012064241277143,0,-0.0522895285270251,0,0,-0.0299327319757774
SPX.Index,0,0.00827021225552686,3.41871678259214e-05,0,0.00493427846387121,-0.00441294517278824,0.00128570436715521,0.00188358947962516,0.00144746763479551,0,-0.000744428554639994,0.00364500177589449,0,-0.00279449467325419,0,0,0,0,0,-0.0415522123704617
VIX.Index,0,-0.381566042503162,0.0693987815413399,-0.0364770836899943,-0.0171176452393905,-0.0900570369111438,-0.0226428968680022,-0.0573025702128324,-0.019608358313736,-0.0441874236750959,0.0914193672700025,0.0287692478678079,0.249248625182408,-0.0558107658590879,0.115977795623291,-0.67099842388281,0.171662787736474,0,0,0
