,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0797813075913232,0.0447760874513235,0.185746622845768,0.0124529566740524,0,-0.0192407108656985,0,0,-0.061893276179388,0.591841031807915,0,-0.0672769000465775,0,0,0.0587070002632705,0,0,0.116097604397732
ETH,0.317960456594398,0,0.0887042358085762,0,0.0157088922881163,0,0,0.0280093364004233,0.111889921331524,0.25503917944372,-0.0686828459566262,0.187832333246518,0,0,0,0,0,0,0,0
XRP,0,0,0,0.125080031578236,0,0.149765805922881,0,0.0192272218832812,0,0,0.216994751923568,0.296900443295712,0,0.0051755277179766,0.134517539892872,0,0,0,0,0.0202116928601093
LTC,0,0,-0.0626635544162395,0,0.155914004999723,0.253213130781429,-0.157552802074716,0,0,0.0149196935607131,0.271864315450268,0.160873480001064,0,0,0.0749832949558188,0,0,0,0,0.0360999109860934
BCH,0.592135169041412,0,0,0.119390349832914,0,0.0729984048761594,0.0479655290837859,0.0319866381225378,0,0.238188962556086,0,0,0,0,-0.188048834505649,0,-0.0297806734591483,0,0,0
EOS,0,0.297206297222626,0,0.0738503157706319,0.485346157443099,0,0,-0.167998808855128,0.0668350916655548,0,0,0,-0.0677081901287307,0.031790219624408,0.232054142407083,0.50322446039119,0,0,0,0
BNB,-0.59401517751761,0,-0.00714364654913895,0,0.328894592316274,-0.0709561604764723,0,0,0,0.137253808333931,0,0,0.29531860075912,0.0709468465098256,0.19133129807536,0.018402024617193,0,0,0,-0.0773429823315927
BSV,0,-0.244978413351308,-0.42010811982522,0,0.379545327762517,0,-0.029816817215222,0,0,0,0.272017741972034,-0.0946477874225172,0.421915844354111,0.0818934043266749,0.52521651403943,0,-0.361114277568475,0,0,0.212360177487125
XLM,0,0,0.545345087953049,0,0.170639704151693,0.0448780594968548,-0.0677965121227248,0,0,0.0664121936375879,0,0,0,0.0755814810157933,0,0,0,0,0,0.00234123927701884
ADA,0,0.220379189822797,0.0589620093604198,0.217557973150469,0.0873740366174466,0,0,-0.113215832536644,0,0,0.513079790967761,0,0.122989556256932,-8.67361737988404e-19,0,0.164585963866274,0,0,0,-0.0483807712825459
TRX,0.195052909170182,0.0641808780241563,0,-0.0952177738790699,-0.263775401288979,0.468836404368948,0,0.0210655733591498,0,0.292362186723959,0,0.27775527754803,0,0.0474445728748157,0.0657526299422915,0.0477042374773116,0,0,0,0.140173033647579
XMR,0.484172182112035,0,0.0623764747213825,0.0530324548265752,0,0,0,0.0197080232406448,0,0.171635481170197,0,0,0.330283222404633,0.0194137365463623,0,0,-0.133627771167923,0,0,0
DASH,0.103932160094673,0.116317009837287,0,0,0.234929732619332,0.0131093054621524,0.0194503183615923,0,0,0.0982662761006089,0,0.0945182357057633,0,0.122113875527889,0.118019601299132,0,0,0,0,0.0425410160468674
ATOM,-0.442165633435799,-0.388192620367812,0.329157230884998,0,0.245859752138243,0.445107655655296,0.381617978329059,0,0.493770876637267,-0.546621543919828,0.277411019504265,0.700137511400643,0,0,-0.528435934346761,0,0,0,0,0
MIOTA,0,0,-0.065655006309027,0.0803184622194513,-0.0635488700387264,0.107500267183033,0.193377993094545,0.0304868001297385,0.168018798693002,0,-0.00966969721091801,0.45730079313494,0,-0.0191255946764739,0,0,0,0,0,-0.0730982258821779
BV010082.Index,-0.019022752009838,0,0,-0.0846244051284673,0,0.0882399630483046,0.0497893475537669,4.33680868994202e-19,-0.0469992425702353,0,-0.176840960837425,0,0.125900690563583,0.115230118791937,0.243897604026673,0,0.0502978976142142,0,0,-0.0926456311890934
CVIX.Index,0,-0.0786447974727519,0.128488714033735,0,-0.0908925913722636,0,0.184655912570659,-0.0223665830614356,0,-0.144390997615965,0.235203586639955,-0.121388490716421,0,0,0,0,0,0,0,0.0951095298514418
DXY.Curncy,0.00792501522047597,0.0336114726396006,0.0093291316063012,-0.0222541280923214,0.00399981918284707,0.0249239420105727,0,0.00103133613047481,-0.0279218687650487,0,-0.013642208948064,-0.00476823791872727,-0.00336935946215051,0,0,0.0330922657525058,0.00399702238438861,0,0,0.00789509676580159
SPX.Index,0,0,-0.0174954131216102,0.00223068251845605,0.00361037547268434,0.0243511626702614,0.000871333551144967,-0.00584238370340108,-0.0320544670344834,0,0,-0.0359185952407717,0.0122623394219893,-0.00741644528304499,0.0168769631015333,0.0342285468714438,0,0,0,-0.0602737484743936
VIX.Index,0,0,0.442517970073786,0,-0.552882555690709,0,0,0,-0.414709932492376,0.554318268594786,0,-0.507932459843183,0.149791697393495,0.0859052539123592,0,-0.335662989424595,0.385515750583119,0,-5.26454815327421,0
