,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-1.73472347597681e-18,-0.050317131286314,0.159919072000847,0.0626338450010769,0.132036587732914,0.0311859218296906,0.0622953609133518,0,0,0.0329334148636422,0,0.0638841004522367,0,0,0,0,0
ETH,0,0,0,0,0,0.313379094163919,0.0404894224294414,0.17688268065166,0.0679876559270098,0,0,0,0,0.0181314206499391,0.241265126457257,0,0,0,0,0
XRP,-0.334668868646914,-0.259587087929246,0,-1.73472347597681e-18,-0.0789501309111637,0,0.338837733070657,0,0.403882460436157,0.284202253278878,-0.125664046945748,0,0.292534559700844,0.0852119435609201,0.1484952353473,0,0,0,0,0.0592659178157579
BCH,0,0,-0.0829094564649099,0,0,0.156262751303786,0.0307010246013849,0.196834831655498,0.160815073305891,0,0,0.253242295419084,0.166867607719661,0,0.0886855626302712,0,0,0,0,-0.00499477846385608
ADA,0,0,0.1462544589137,0,0,0,0,0.162559428543146,0.0260840288665913,0.257192357302355,0,0,0,0.0446227459723717,0,0,0,0,0,0
LTC,0.500677659906758,0.0184195560055677,0,-0.0566289001768963,-0.0545721749264547,0,0,0,0.0969737085744069,0,0.177832401239701,0,-0.0491164564662277,0.000813093162577053,0.10604432612385,0,0,0,0,0
XLM,0.0361587988808316,0,0.11259887956687,0,0.414349758371052,0.191490357348649,0,0.18547741385699,-0.0821489070846026,0.0909396164332408,0.207599034159424,0,0.0343452601894852,-0.168786194610833,0,0,0,0,0,0.0345847125625565
NEO,0.101572547085174,0.289327343131736,0.0613892961306516,0,0,0,0.138457978726912,0,-0.115587756546213,0,-0.0314278448574254,0.279893982207939,0.158174446217992,0,0.219652490427932,0,0,0,0,0
EOS,0.0254306243591923,0,0,0.20644137955979,-0.0477604609156884,0.330660867689891,0.00486663959211522,-0.177701821681859,0,0,0.1467833023589,0,0,0.209144764438928,0.282406414542747,0,0,0,0,-0.142765260700799
XEM,0.142665924583322,0,0.278257775457444,0.0852120206892889,-5.42101086242752e-20,0,0.208864937587275,0,0,0,0.120908774531547,0,0,0.0489836993689761,0,0,0,0,0,0
MIOTA,0.0638189923094259,0,-0.0631626326676547,0,-0.124572179336639,0,0.0858971313024158,-0.339023330808242,0.181859647359599,0.401478026446776,0,0,0,-0.0408578372272319,0.793067465071441,0,0,0,0,0
DASH,0,0,0.035588260926561,3.46944695195361e-18,0,0.149134184466219,0,0,0.0436921203297097,0,0.0102033502028074,0,0.167527198586851,0,0.270246074842294,0,0,0,0,0
XMR,0.0268293314780998,0,0,0.193923905870675,0.0139772695680803,0.0780866876192401,0.0548543322011635,0.122733716022184,0,0,0,0.0347663094279903,0,0.0631291413107465,0.306861115395535,0,0,0,0,0
TRX,1.27156808717449,0,0.271104080153696,0.206430002652997,0,-0.947151531068312,-0.00848410073894557,-0.416961505397445,0.323430926703693,-0.712621619114836,0.218041584390723,0,0,0,0.528043663278524,0,0,0,0,0.275260619815477
ETC,0.10159297032458,0,0.0883843741085714,0.0465813283443535,0,0,0,0,0,0,0.317999754727144,0.130706972069871,0.363580230209169,0.0439604040708072,0,0,0,0,0,0.00894607769190256
BV010082.Index,-0.0269560373841784,0,0,0.00882056448100194,-0.00947106263906132,0.0432796872921378,-0.0327441952509431,0,0,-0.0189239307252689,0.0230994942529461,0,0,0,0.00212767652229159,0,0,0,0,-0.0342298971377919
CVIX.Index,0.0222559432846763,0.0235800064387293,0,0,0.0538737999583907,0.0151527596806515,-0.0234610867333435,0.0235770118257526,0,0.0367391479549461,0.023464505464841,0,-0.0755353106023375,-0.0127697592211186,-0.0697667752669875,0,0,0,0,0.0204113408802197
DXY.Curncy,0,0,0,0,0,0,0,0,-0.0190927152250543,0,0,0,0,0.00473464989971467,0,0,-0.00319886602565016,0,0,-0.019575215067331
SPX.Index,0,0.00776554369129842,0.0177964673544396,0.0277650624716086,-0.0389186532272039,0,0,0.0564717602953217,0.0187395898282007,0.0113543839604071,0,0,0,-0.00369246625969871,-0.105532591113537,0,0,0,0,-0.0879595375731878
VIX.Index,-0.318592860026437,0,-0.154165726368478,0,0,0.34612635811883,0,0.253436698246155,0,-0.072968058246704,0,-0.359988529422562,0,0.0498737645248363,0.301033346546873,-0.917430883078349,-0.424776376130401,0,-0.411024240958446,0
