,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0186564578064928,0,0.0220638898556975,0.152545264242344,0.0517948282698389,0,0,0,0.136089151284809,0.0573627029209647,0,0.237338222992738,0,0,0,0,0,-0.00125818209414649
XRP,0,0,0.156734603658965,0.0681364889208892,0.00540337379046587,0.0595866116158278,0,0,0.0999819111561021,0,0.0734381632864879,0,0,0.0236020450824588,0.215766518249534,0,0,0,0,0.0237772713656916
ETH,0,0.284952767723556,0,0.141490657800128,0.0976044902005699,-0.0887343922455458,0.0530788625380794,0,0.179408663585337,0,0.232390317500214,0,0.0895554799245081,0.039131475538231,0,0,0,0,0,-0.0171790985321653
EOS,0,0,0,0,0,0.265891602253606,-0.0642153818302236,0,-0.0968031477836965,0.711000120251612,0,0,0.0248744998616562,0.077018005189102,0,0,0,0,0,0
BCH,0,-0.517107697806806,0.0374001233241449,0.342493472515146,0,0.194433229211296,0.0728078769358948,0.241708772717245,0.0847538010665545,0.360941633098667,0.230207466980126,0,0.0585255195090746,0,0,0,0.289201934362967,0,0,0
LTC,0,0,0,0.255947219943479,0.000714702036341348,0,0,0.121121936257573,0.241587467774173,0,0.196771273592087,0,0,-0.0388058640645936,0.122036275719777,0,0,0,0,-0.0591225321002938
TRX,0,0,0,-0.11969941275197,0.123809193731019,0,0,-0.262977164858459,-0.0351448901611417,0.583123970611984,0.216774111786876,0,0,0,0.16429378366893,0.197068956625315,-0.240417339427648,0,0,0.22205155177415
XLM,0,0,0.129269437360112,-1.38777878078145e-17,0.163968571185949,0,0,0,0.0392741343767947,0,0.147369657526395,0,0.0673939265954897,0,0.173982737063218,0,0,0,0,-0.009117277403893
BSV,0,0,0,0,0.35923297989385,0,0,0.181162808746953,0,0.243843478614927,0.128853898934093,0.188113057623436,-0.0356146439412989,-0.181639926213759,0,0,0.218750087416121,0,0,-0.110715748667607
ADA,0,0,0.103280369467125,0.257635421825142,0.024300423056176,0.263725401347314,0.0650474347526266,0,0.066771886544285,0,0,0.0586961358642993,0.104202852639957,0,0,0,0,0,0,-0.0172520438651749
BNB,0,0,0.129247726899761,-0.126959127452739,0,0.213583766712561,0.268548401055535,0.806355847504565,-0.100343014845814,0,0,0,0,-0.0466605129768991,0,0,-0.589705447084847,0,0,0.146956338580535
XMR,0,0,0.071536509625223,-6.93889390390723e-18,0,0.058923694363627,0,0.234951222299661,0.0907179086697741,0.170330062925934,0.0386249538200478,0,0.05623854087936,0.0592500945881997,0.0812402452177327,0,0,0,0,-0.0302860939365756
MIOTA,0,0,0,0.0628486616994706,0.0202823465126949,0,0,0.572997453338838,0.25294750157394,0,0.298020785686595,0.0627771363456793,0,0,0,0,0.925463992592068,0,0,-0.0630998229469036
DASH,0,0,0,0.128167346685025,0,0.178135274679976,-0.218414311103188,0.323929636524551,-0.0541087402522753,-0.142639206348812,0.0505739118541094,0.497690310142112,0.128610530527587,0,0.0950558866219655,0,0,0,0,-0.0762965329435745
NEO,0.115424350567662,0.151935876133002,0,0.192298439218139,0.0132631293022993,0.435796047553427,0.192062512723919,0,-0.05609392779793,0,0,0,0,0.0356871217564297,0,0.0605224661690843,0,0,0,0
BV010082.Index,0,0.33913839958745,-0.676326753247567,0,0.00454436970307198,-0.256705099926623,0,-0.250133887459484,0.137237311393376,0,-0.00936520932426774,0,0.1442944789309,0,0.603137043638097,0,0,0,0,-0.0613912345266393
CVIX.Index,0,-0.0349164594117527,0.474552713969969,-0.108346040987596,0.0809804400821855,0.0774486051784672,-0.305963237720458,0.098270933013784,0,0,-2.16840434497101e-19,-0.251315823389148,0.0973304038755675,0,-0.359188282088927,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.00821794135928468,0,-0.0399173552402511,0,0.00918005397024711,0.0175359494249326,-0.0196443040147803,0.0351578118215388,0,0,0.00443485777795935,0.0586170667243123,-0.0132096578944859,0,0,0.0173632149940396
SPX.Index,0,0.0249037564116659,-0.0265922430224903,-0.0132344175586076,0,0,0,0,-0.000968392180929926,0,0,0.0443175073965558,0,-0.0573187506803907,0,0.0736637559393312,-0.0664523908867587,0,0,-0.138289755779398
VIX.Index,0,0,-0.837695492610696,-1.0842021724855e-19,0.268296284598056,0,0.02802029715549,0,-0.319856619667148,0.53346856122056,0.0792905267526953,0,0.183441760435841,0,-0.300244127172753,-0.571857975561159,-0.795659138257525,0,-3.21072888267536,0
