,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0813722800165492,0.44913168139713,-0.285107003263882,-0.000482222711702501,0.139187574999157,0,0,0.150616024596189,0.107017503313883,8.67361737988404e-19,-0.0356137294841807,0,0,0,0,-0.0930827617111444
ETH,0.058886123208995,0,0.026789030288254,0.158670839538343,0,0.0767302317767365,0,0.0517161930486845,0.147236460885462,0.0865879176273197,0.0904768704548408,0.0644969639032788,0,0.0915931334086556,0,0,0,0,0,0
BCH,0,0,0,-0.230776430244295,0,-0.633893431117683,0.179216401870513,0.415222077925859,0.0620700361958246,0.688665524488914,0.363835963981062,0.0425537887240257,0.00899187447768505,-0.33263000798667,-0.104825466086156,0,-0.452529735184985,0,0,-0.878733265258988
XRP,0,0.498197450659956,-0.0625447593618012,0,-0.0170818485548932,0.122251209503175,0.121801011167817,0.0289316851642954,0.256760687071611,0,0,0.0933408415884652,0,-0.109615619438044,0,0,0,0,0,-0.185740056421229
DASH,-0.395674125669553,0,0.130801450279936,0,0,0.303564696244624,0.190001008079474,0,0.598507688348834,-0.681449200613452,-0.593698036397413,0,0.592694857736671,0,0,0,0,0,0,0
LTC,0.253638317625406,0,-0.0902315566658386,0.276924400642867,0,0,0.0422633582763845,0,0.11229558367226,0.155796852019801,0.170296211809489,0.0143288277470045,0,-0.0815201469147819,-0.00790990775240577,0,0,0,0,0
MIOTA,0,0,0,0.298202292280635,0.0349345827032443,-0.262594760079254,0,0.00650212037447017,0.322244605566741,0.692816256869074,-0.238336117546627,0.248222303872822,0.0607564533726423,0.100493635588549,0.0559393515858814,0,0,0,0,0.0379137267447714
NEO,0,0,0.041115437347193,0,-0.0585225283803224,0.00478501591060149,-0.219507422376741,0,-6.93889390390723e-18,0,0.181939053199926,-0.139120468508859,0.732694863395336,0.0363294486184922,0.155053490717138,0,0,0,0,0
XMR,0,0.288778802079008,0,0,0,0,0,0.0968845279216629,0,0.224068059240641,0,-0.0286992412751461,0.21461597832824,0.138943754907973,0.0033004054246807,0,0,0,0,0
XEM,0,0.248678514039895,0,-0.0412952053140958,0.0244529849574637,0.0786741145290257,0.178341253375275,0.0262273155680836,0,0,0.00773053481543404,0,0,0.136223668805859,0.0931668540203013,0,0,0,0,-0.196121994061633
ETC,-0.137833166170793,0,0.191139004778286,0.282390570494312,-0.399562286700066,0.155712020367994,0.120355805773495,0.0821088011313601,0.0427138613761178,0,0,0.0375256112238186,0,0.0575772442521784,0.0385945658376321,0,0,0,0,0.0535886501377199
EOS,0.425697377425457,0.504243246995594,0.0299698266769831,0,-0.0309834839801432,0.0758568042438362,-0.0822821381398056,0.0194127766066886,-0.540277532083708,0,0,0,0.729854067567791,0,0.0885510317485401,0,0,0,0,0.115391480863827
ZEC,0,0,-0.030751724545719,-0.213029881192652,0.298906355486176,0.0332507759704561,0,0,0.152534595644175,0.183888660259945,0,0.126654143066038,0,0,0.0395182314009805,0,0.323245035673292,0,0,0.0495674637603319
ADA,0,0.168528184258509,-0.211444857446387,0,0.361815862864103,0,0.431393824135974,0.401515374270502,-0.325594035072373,0.617699669565221,0,0.0244121642577096,-0.779200597205311,0,-0.00715463722408586,0,1.75624964033429,0,0,0.223110848747183
XLM,0,0,0,0.396828751832699,0.117626834557488,0,0.549968158173717,0.137646419138698,0,0,0,0.211031638318381,0,0.276243266862053,0,0,0,0,0,-0.505750385579803
BV010082.Index,0,0,-0.00343653379262588,0.03051520520039,0,-0.102375520901339,0.0166939853847319,0,0,0.00806992805786958,0,0.0367228709192064,-0.0125870129959856,-0.0194808908849908,0.00327199237893523,0,0,0,0,-0.0180656329800615
CVIX.Index,0.0555709173167894,0,0.0383263670236671,-0.0952964402140363,-0.0338219485081981,0,0,-0.0145601233178646,0,0.0958874640622785,0,0,-0.0262719555658326,0.0362874036901386,0.0178701480043922,0,0,0,0,0.125208686169918
DXY.Curncy,0,0.0213596739025991,-0.00180700586771176,-2.16840434497101e-19,-0.0115009361565275,0,-0.0163580838017231,0,0.0202967909422068,0.00631253912774402,0,-0.00350821652063848,5.42101086242752e-20,-0.0171661192692193,0.00246029682363009,0.00945994478829129,0,0,0,0.00497138316785059
SPX.Index,0,0,-0.00188679019538508,0,0,0,0.00627045340500003,0,0.00275568245236049,0,0,-0.00469333404898866,-0.0223539352352574,-1.0842021724855e-19,0.00216433714805642,0,-0.0261844788641649,0,0,-0.0313838049550045
VIX.Index,-0.318509088457233,0,-0.394496674860843,0,0.131478754228968,0.509032179134071,0.202131944375248,0.095784898123271,-0.279764498745825,-0.159378505083131,0.0382633763931657,0,0.0780678344214325,0.0623760884887086,0.102062864801882,0,0,0,0,0
