,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.170046874185892,0,0.0739644131168618,0.0350910098769982,0,0,0.101043638301375,0,0.0234707049497463,0.0245649989774389,0,0,0.092390442981357,0.125996520856827,0,0,0,0,0.101969336286052
ETH,0,0,0,0.177389325422061,0.0470399163047184,0.487478908955155,0.0337830851506984,-0.0576580884298539,0.045769213849081,0,0,0,0,0.128002511657652,0,0,0,0,0,-0.0424799881099985
XRP,0,0.473552512285638,0,0,0.0563464734133376,0,0,0,0,0,0,0,0.184639581538481,0.0532281574727848,0.0984992174859885,0,0,0,0,-0.0565341407125803
BCH,0,0.29506055592901,0,0,-0.129960827021219,0.222161064797225,0,0.246884312346857,0.138614106512762,1.38777878078145e-17,0,0,0.146719536045148,0,0,0,0,0,0,0
EOS,0,-0.414437354416949,0,0.868200346556541,0,0,0.217143914523639,0,0,-0.334748135080522,0.751174808715931,0,0,-0.166013779004391,-0.300856172752627,0,0,0,0,0
LTC,0,0.466942015882612,0,0.144008756638869,0,0,0,0.141884483560017,0,0,0.0965256767429152,0.0163417781910512,0,0.0321712707201755,0,0,0,0,0,0
ADA,0,0,0.0539175237174543,0,0.038670444003535,-0.0258526453483246,0,-0.0590167344565277,0.0809170877017629,-0.0428986809476027,0.332816140358123,0,0.228568546088399,0.325792393436133,0,-0.215537122555306,0,0,0,-0.0364362557449216
XLM,0,0,0,0.078813841349387,0,0,0.227440571764633,0,0.0983311884456172,0.0674043758050599,0.152789287417013,0,0,0.206419959182927,0.0886871444717779,0,0,0,0,0
MIOTA,0,0,0.234810053029635,0.1307803906199,-0.117415937861278,-0.0815733009905303,0.0808112413829256,0.313866442799946,0,0.111829598898335,1.38777878078145e-17,0.0620847261548736,0,0,0.291951167952445,0,0,0,0,0.250718189755686
TRX,0,-0.4003625026819,0,0.645895972033569,0.190585228751691,0,-0.60261086165091,-0.197748404926136,0.237431582949178,0,0,0.551814541165548,-0.253583006110365,0.355460154693233,0,0,0,0,0,0
NEO,0,0,0,0,0.146414643346302,0.0396289180374592,0.061705200451551,0.164490565787361,0.232180913666383,0.0102083870889315,0,0,0,0.0399696249835551,0.266624475367966,0,0,0,0,0.128944167717943
DASH,0,0.0827521297577281,0,0.252252049589114,0,0,0,0.156349327405183,0.0641912961752916,0.011423831472095,0.118863381868658,0,0.14297036097538,0.0228696037485948,0.0206784253158037,0,0,0,0,0.106336149615627
XMR,0,0,0.31295958410188,0.197012259983332,-0.0688442351301177,0,0,0.313083210491079,0,0.0576936757231848,-0.0271973207403817,0.0989445768569132,0,-0.0700152659584147,0,0,0,0,0,0.18018333172901
XEM,0,0.508250136210953,0,0,-0.0736767299971279,0,0.151202817508184,0.61961542123947,-0.210220551021881,0.163035281690863,0,0,0,0,0,0,0,0,0,-0.0206404852988257
ETC,0,0.0815902726449617,0.325528421097072,0,0,0.252498533981213,8.67361737988404e-19,0.0277047766544231,0.0429135935147469,0,0.146692098684217,0.123332468197862,0,0,0,0,0,0,0,-0.00447074798863397
BV010082.Index,-0.0361257296412586,0,0.0357112968812768,-0.0232305420813128,0,0,0.0189758957312838,0.0453777324704989,0,-0.00693807614794799,0.0189596499996295,0.145009377894603,-0.0391961798110971,-0.181581801959367,0,0,0.0316104994833281,0,0,-0.0733763509138125
CVIX.Index,0,0,0,0,-0.00265303449640969,0.0702604670173952,-0.100656028278579,0.0653002757589264,0.0947252515888053,-0.0182816981662859,-1.73472347597681e-18,0,0,-0.217131308204522,0.18126585720842,0.0891659392154036,0,0,0,-0.0297353995266011
DXY.Curncy,0,0.0361026948899895,0,0,0.00207227546212755,0,0.0117047347375345,0,0,-0.00258355203501442,0,0.00351008882788911,-0.00219025166454243,-0.0281620231482483,-0.014427417345244,0,0.0279279183720276,0,0,-0.00651250134895283
SPX.Index,0,0,0,0.0595273937373447,0.00986105523105274,0,0,0.0104138387827802,-0.0442551904504872,-0.0246397252020388,0,-0.0238387085311235,0,0,0,0,0,0,0,-0.12611139778245
VIX.Index,0.540504176146847,-0.063668683559769,0,0.0421993667614317,-0.144645139821908,0,0.0444649566754563,0,-0.361053682209408,0.0600119100879043,0.00885905556278896,0.142843184029338,0,-0.061801193774819,0,-0.82104767913509,0,0,-4.11594510785645,0
