,BTC,ETH,BCH,MIOTA,XRP,DASH,LTC,XMR,BTG,ADA,ETC,XLM,NEO,XEM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0488968122634039,0.0820220957651728,0,-0.314918343901094,0.326142309144906,0.110623710521617,0.0203771350321551,0.161824131450696,-0.252094127997211,-0.0778174114902531,0.047578151621043,-0.534077754268808,0.217027413735448,0,0,0,0,-0.066041986383233
ETH,-0.0858915623982668,0,0,0,0.224744552072132,-0.0950092450719927,0,0.0583475155288858,-0.0173861843729139,-0.0453978618079605,-0.0185702963634261,-0.0413922954067067,0.0780978364580774,0.237802079848385,0,0,0,0,0,0
BCH,0,0,0,0,0,0.00317375025778895,-1.10940612017089,0,0.175355121672892,-0.0910369115728404,0.35675504935658,1.73472347597681e-18,0.624484259525474,0,0.0891333284694363,0,0,0,0,0
MIOTA,0,0,0,0,0.0630727259363649,0,-0.468723728405698,0.308418828576184,-0.120281550018781,0.139074689468962,0,0.0979333489976727,0,0.362517454614347,0.0925845527509121,0,0,0,0,0
XRP,0,0.547866240348399,0.125828835817494,0.107168532897639,0,0,0.0045518586895392,0.150384124161844,-0.0426688625610308,0.111225727862032,0.0104251282731755,-0.0422466952021551,0.0211736479296593,0,0.083788435377101,-0.480503556789782,0,0,0,-0.0307756657158343
DASH,-0.377567746487803,0,0,0.0892258981391354,0,0,0.184032021720083,0.100969591196403,0.0232892386357896,0.0239159778636747,0,-0.0592338206182005,0.0937273593080818,-0.287994169532439,0,0,0,0,0,-0.00266396929707466
LTC,0,0,-0.115781166534765,0,0.271847979105508,0.0218751552123168,0,0.00615512703708778,0.0169479519943319,-0.0160198841599653,0.103391635718204,-0.0267679228322051,0,0.207227941895622,0.0861832814229181,0,0,0,0,0
XMR,0,0,-0.0252238167574756,-3.46944695195361e-18,0.0511506670675307,0.0727489848920804,0.162824187280895,0,-0.00544925581782239,0.133093498406182,0.14477286698386,0,0.0549730030615235,0.306599577073249,0,0,0,0,0,0
BTG,0,0,0.165666615462113,0,0,-0.656009882361813,0,0,0,0,0,0,-0.520016968567157,0,-0.569130326116421,0,0,0,0,-0.778239890791624
ADA,0,0,0,0.0498759620193218,0.639966918036707,0.00769689032054389,0.616131793771528,0.410080681128862,0,0,0.0538871486907597,-0.241829203797222,0.183931655809485,0.354360146967301,-0.301908784887613,0,0,0,0,0.167408535636002
ETC,0,0.168709967377122,0.155484594389275,0.00717608610500085,0.327530642758628,-0.31016498920432,0.276348956563854,0.109624609632384,0.0226798659694253,0.129818472027535,0,1.73472347597681e-18,0.129585265633315,0,0,0,0,0,0,0
XLM,0,0,0.115077483303512,0.417475540672846,0.299501237168447,0,0,0.306757285575116,-0.0886628443754663,0.194069529327196,0,0,0,0,0.355630741527728,0,0,0,0,-0.25735650001028
NEO,-0.106682391159643,0.494972876691577,0.0579724729105141,-0.186432116123637,-0.121029833551279,0.0868920052721932,0,0.074659903693198,-0.0907386140093772,8.67361737988404e-19,0.191888450184147,0.170762715678209,0,0,0,0,0,0,0,0
XEM,-0.317593498816202,0.359545540921659,-0.00685791353785016,0.0650504041854915,0,-0.0376448720742536,0.154771389928323,0.139099208102871,-0.021509378833071,0.102580911047454,-0.049668329277201,0.0823535934477532,0.0915659793762876,0,0.0114771260640568,0,0,0,0,0
EOS,0,0.357387708443853,-0.024347715802974,-0.202918006100264,0.258599897179964,0.223680974427676,0.175210165662303,-0.797535148878082,-0.0584991110504467,0.158041567647447,0,0.0839748923607517,0.253247351139594,0.289242971970559,0,0,0,0,0,0
BV010082.Index,-0.0322047082656235,-0.0464648157163775,-0.048493747238529,0.00384190375733667,0.038848892730023,0.0315434017008303,-0.0402409775931947,-0.0292061629202629,0.00320166420351037,-0.0118186994092328,0.0290795722192354,0.00545508539624314,0.0310228822159795,0,0.0135585623815435,0,0,0,0,0
CVIX.Index,0,0.0147821143267443,0,0.00274241585359288,0,0,-0.0629103742227021,0,0.00252438262576478,0,0,0.0154092089952374,0.000575592019838565,0.0906576827354808,0,0,0,0,0,0.131906589597144
DXY.Curncy,-0.0151641850847621,-0.0174749082820695,-0.00689637080930474,-0.00126446638789571,-0.0308486408905417,0.00416774712715007,-0.00641151153710966,0.00575307709279763,-0.00542091190438203,0.00422652856829502,0.0139012271913596,0.00354038729680578,0,0,0.00230155019747194,0.029785075810436,-0.0994995882208897,0,0,-0.00830599717809594
SPX.Index,-0.00116955063312039,-0.00235208948562557,0.0016635325054177,0,-0.00471262960239852,0,0,0,0.00109330463296056,0,0.00191465035440959,0.00115597135539235,0,0.0118362865651963,-0.00887273097295893,0,-0.0822965792877567,0,0,-0.00997456081960605
VIX.Index,0,0.225735562414612,-0.414013174483516,0.178257084026263,0,0.15460536968566,0,-0.232389340223744,-0.0314561168968462,-0.0476001216058339,0,0.0891328917546723,0,0,0,0,0.21142923001403,0,0,0
