,BTC,ETH,XRP,BCH,ADA,NEO,XLM,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.107179239423845,-0.0784841487406532,0.17324092065973,0.035176220466682,0.0227259201623796,0.0711152911499609,-0.0260340118008875,0.141184857316419,0,0.18581858635128,0,-8.67361737988404e-19,0,0,0,0,0
ETH,0,0,0,0.0760725677183045,0.00713813939913598,0.157784654211706,0,0.32064920842561,0,-0.0403217907769439,0,0,0,0.0197720580941433,0.294147761330045,0,0,0,0,-0.0328994754511715
XRP,0,0,0,0.0421149149044045,-0.0354064990960061,0,0,0,0.272827227506405,0.218528198885008,0,0,0.253015581605678,0.133546143600587,0,0,0,0,0,0
BCH,0.038809486588789,0,-0.0772524878653235,0,0,0.187893315196864,0.0580039539190994,0.123721486124292,0.19641931930322,0,0,0.331427021585147,0.0888140179287526,-6.7762635780344e-21,0.0562168766314868,0,0,0,0,0.0810642507800736
ADA,0,0,0.182124421345394,0,0,0.180887661999872,0,0,0.042820163175503,0.123458343244505,0.102864496611919,0,0,0.0367667140121115,0,0,0,0,0,0
NEO,0.0649790876400162,0.408832258915025,0,-0.00310616125191043,0.0744536463740422,0,0.0208810863978102,0.082140196038143,-0.116286197653553,0,-0.0801767008256692,0.172209748081666,0,-0.0537145611493052,0.42250463808295,0,0,0,0,0
XLM,0.0586490830211911,0.176695255702807,0.263798227704191,0,0.234866117462109,0.014673679770348,0,0.00613699856591816,0.0047080500710017,0.0319576450518826,0.0768149284068878,0,0.294937795479322,-0.197760246549934,0,0,0,0,0,0
LTC,0.142385396902256,0.135864638067047,0,-0.0411934232320803,0,0,-1.73472347597681e-18,0,0.0413775719326059,0,0.188934235366058,0,-0.0581979101902683,0.0428675292065842,0.104914920719808,0,0,0,0,0
EOS,-0.00400802151747096,0,0,0.13559929463313,0.0697576036135666,-0.134344024907438,0.185127403890073,0.271312818207813,0,0.0371889119229593,0.0307632455192661,0.16390750522698,0,0.0594368911280177,0.221667336291472,0,0,0,0,0
XEM,0,0,0.268188028349119,0.0837832643993672,0.0216120605014384,0.122833414330085,0,-0.459357839083972,0.111914994280823,0,0.268120014297498,0,0,0,0.230291855093523,0,0,0,0,0
MIOTA,0.220169288141614,0,-0.0607356822311168,0,-0.135927057608056,-0.197919700450201,0.215580222314037,0,0.176683875593006,0.242429640349241,0,0,0,-0.0372444894478353,0.627374002465274,0,0,0,0,0
DASH,0,0,0.024523598888333,0.0179721789412724,0.0138577003445434,0,0,0.164810399474984,0.13828726035864,0,0.0430124110106322,0,0.0514478871811295,-0.0360194474021069,0.273108696010848,0,0,0,0,0
XMR,0.113379478764452,0,0,0.211000391917937,0,0,0.125165325067406,0.0638391026821952,0.024317244251203,0,0,0.0625904159379143,0,0.0457796351188818,0.0794892414233881,0,0,0,0,0
TRX,1.39895877000023,0.243712699539827,0.274482863398188,0,0,-0.0531096052176773,0,-0.685211386231111,0.234161266422726,-0.78847729997992,0.371677465093015,0,0,0,0,0,0,0,0,0
ETC,0,0.245809866966515,0.0449394898546307,0.194638940804613,0,0.133138953570416,0,0,0.0930402473454907,0,0.0697875576018093,0.00745759276155208,0.288850768369124,-0.0031488427116422,0,0,0,0,0,0
BV010082.Index,-0.0486132199482993,0,0.0118241729499612,0.00163567488835044,-0.0332428019686786,-0.0137850158214278,-0.0115602931431361,0.0249207690067264,0,-0.00330138440659323,0.0212580448917162,0,0.027777358358602,0,0,0,0,0,0,0
CVIX.Index,0.0390526165692466,0.0512692546465438,0.00783699092175216,-0.0106740728426939,0.0558896652318014,0.0254192236841767,-0.0301613633554093,0,0,0.0263861609454397,0.0374363695211126,-0.0123373377647837,-0.0471580465870705,-0.014055080734388,-0.100577796356151,0,0,0,0,0.0339312242556088
DXY.Curncy,0,0.00496100589381339,0.00569531648601231,0.00159213053518922,0,0,-0.00947188514621904,4.33680868994202e-19,-0.0130216940701885,-0.00107093412818625,0.0117626154211775,0,0,0.00409425764457443,-0.00144515195718191,0,-0.0631839753725889,0,0,-0.0338834034956673
SPX.Index,0,0,0.00199627591694836,0.00150228974779973,0.00458854481964231,0.0065130009695321,-0.0118402485022973,0.00483314701303638,0.00345146365219008,-0.000934642140263006,0,0,0,-0.000148823611990838,0,0,0,0,0,-0.0409361078114887
VIX.Index,0.0291436236847238,-0.307384731197532,0.165509479787212,0.0640576429107165,0,0.142086343033466,-0.186896193759077,0.0432536474694321,-0.11983823750146,-0.0596824148901498,0.119592026288338,0,0.324805582424654,-0.0331017391309208,0,0,0,0,0,0
