,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0330059150423524,0,0.182833701326884,0.218171432345528,0.0548288074072275,0.0954371774564778,0,0.0934917469801165,0.147186412711456,0,0,-0.0791509450848202,0,0,0,0,0,0,0
ETH,0.00405829598390544,0,0.148946660433711,0.178211232013521,0.1336582354536,0.178586665083459,0,0.377259750795065,0,0,0,0,0,-0.126883960616285,0.0813900852692059,0,0.163360330469573,0,0,0.0216921671034498
XRP,0,-0.392256683258885,0,-0.094916125581947,0.299865094673615,0,0,0,0,0.1352495087446,0.381690358597562,-0.0625723371067016,0.077801684747226,0.424972277903664,0.243140746995158,0,0,0,0,-0.105121071217432
BCH,0,0,0,0,0.187912011409043,0.296247036427391,0,0,0,0.0313560493811296,0.287381552486338,0.114760086409436,0.0541768112057452,0.0669763975762894,0,0,0,0,0,-0.0624006683716794
LTC,0.13485246925826,0.0473376667018422,0.0556166930705848,0.134458420473244,0,0,0,0.0292912722668624,0.130376888471607,0,0,0.0725496143306726,0,0,0.0874069906604382,0,0,0,0,-0.0116065984043774
NEO,0.0236600068488467,0.601662304123138,0,0.110715901806001,0.102646452856669,0,0.0228107805267569,0,0,0.0240837456604762,0,0,0,-0.0992817043941307,0.309232507072531,0,0,0,0,0
ADA,0,0,0.0184574946647994,0,0,0.0204455713115001,0,0.0119473773127984,0.0841245098796726,0.0354417500855941,0,0.45332410502965,0.0977499676070363,0.0353117570848566,0,0,0,0,0,0
XLM,0,0,0.0899834032353239,0.162275870535223,0,0.184908291171276,0,0,0.0341859107820604,0.0581295236583219,0.0452914901993631,6.93889390390723e-18,0.069261368979826,0.176196929257878,0.0216313447032659,0,0,0,0,0
EOS,0,0,0.056651771995464,0.0745209864576991,0,-0.352688680238808,0,0,0,0.259979038488437,0.303822684689051,0,0.116596463908724,0.0604518904560738,0.327438994375016,0,0,0,0,-0.0335635832394646
XMR,0,0,0,0,0.218643676279587,0.297357582578553,0.243189979911678,0,0.0712350839837513,0,0,0.151514482277541,0,0,0,0,0,0,0,0.0652919779562932
DASH,0.34096497410758,0.167843011002011,0.143858348527155,0.189569605123996,0,-0.0916134211681415,0.0981292689929804,0,0,0.117130963789418,0,0,0.00233538886348969,0.0284841225456448,0,0,0.194520311436537,0,0,0
MIOTA,0.117925158436588,0,0.10842184578479,0.274411139213122,0.0724861675585527,0,0,0,0,0.197815976058888,0,0,0.125528647895315,0.0183347338380197,0,0,0,0,0,0
XEM,0,-0.0846352697087371,0,0,0.319286626296421,0.118922815849097,0.284679813141933,0,1.73472347597681e-18,0,0,0.104530449035735,0,0.173965862210056,0,0,0,0,0,0
TRX,0,-0.0931076869084856,0.239959742505779,0.361088468471247,0,-0.212334527523203,0.0217027022742185,0,0,0.211847045668108,0,0,0.432774692380777,0,0,0,0,0,0,0
ETC,0,0,0.269531296561137,0.0413859630712626,0,0.286177819891694,0,0.159319790183446,0.190622692348481,0,0,0,0,0.0529255783235169,0,0,0,0,0,0
BV010082.Index,0,-0.121390028295572,0.0231955968722502,0.0843164546610734,0.0407550751527441,-0.00161197011061519,0,0,0,0.00999750451604319,0.0691190089757527,0,0.0400682376323042,-0.114599404371794,0.00739153069601155,0,0,0,0,-0.0386718478629879
CVIX.Index,-0.0330899563044052,0,0.0583504216185311,0.0374795153908467,0.0480998111820832,-0.00793244121283048,0.134024291248722,0,0,-0.0446945994869533,0,-0.137921807933279,0.0678811372130924,-0.0655892877284209,-0.0691516969199848,0,0,0,0,0.0551152715926138
DXY.Curncy,0,0.0251730407680419,0.0258901730728733,0,0,-0.000821377512166141,0.0137874028183061,-0.0355680083254612,-0.0262442361146638,-0.0174815681257552,0,0,0.000308866026750649,-0.00408177527556331,0,-0.0377848138918226,-0.0345817359751141,0,0,0
SPX.Index,0,-0.0087200696567917,0.00907299530335912,0,0.0294240766686683,0,0,-0.0227851921098196,0.00289165457807441,0.0163622942681763,0.0162492055605041,-0.00637004157200214,0.033172269344494,-0.0781449572946718,0,0,0,0,0,-0.0766800402609056
VIX.Index,-1.15282646320569,0,-0.0480327326817469,0.296744754070051,0,0.366137832659546,0,0.180896272975469,0.255826309080504,0,0,-0.268845966942479,0.141175682018523,0,0,-1.56257493900221,0,0,-3.16081976708472,0
