,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.159991450162197,0.0954343731971675,0.108642882936655,-2.16840434497101e-19,0.0565909773674648,0.0387390772557141,0.0571528749279403,0.00890971302578793,0,0,0,0.029992593819963,0.0163420201344236,0.00706068433660563,0,0,0,0,0
ETH,0,0,0.309108827964623,0,0.136194309387476,0.21918495657269,0.0548224422756145,0.0110976863247434,0,0,0.115125031947403,0.103529701995982,0,0.159630829920653,0.022372647294557,0,0,0,0,0.0137442074504702
XRP,0,0.228231783915247,0,0,0,0.102531225709019,0.0585257197937402,0.0711867770045888,0,0.105719451818485,0.0249230522749264,-3.46944695195361e-18,0.0340181665352333,0,0.0521399109578298,0,0,0,0,-0.0121939989560705
BCH,0.636238667893252,0,0,0,0.201036308517621,0.07864035301744,0,0.0929457921007043,0.237552241793065,0,0.1493912182848,0,-0.136839586772994,-0.0122148550131726,0.0258369758018947,0,-0.0210612756516679,0,0,-0.0339570586443841
LTC,0,0,0,0.0558376463202387,0,0.298689366210114,0.166632795585627,0.0167657698482489,0.318897095897755,0.0890668426745444,0,0,-0.345842869414919,0.402775124244325,0,0,0,0,0,0.00751203492391094
EOS,0,0.430445030295183,0,0,0.413874666042317,0,0,0.0772046864717927,0.139666345220756,-0.0790472158437966,-0.164272701162039,0.201596182167378,0.130205711960749,0.179636833674404,0,-0.159630503198203,0,0,0,0
BNB,0,6.93889390390723e-18,0,-0.215426665363915,0.302942544255658,0,0,0,0.0991238117745955,-0.264757232865078,0,0.278758078820201,0.175466452912362,0,0.0128579824242061,0.112712518132807,0,0,0,-0.177739502485999
XLM,0,0.206772090366803,0,0.0177688827613318,0.0820419790795116,0,0,0,0,0,0.193122530662688,0.181208984129675,0.116057010468055,0,-0.0598029639447699,0,0,0,0,0
ADA,0,-1.73472347597681e-18,0.269529024495837,0.182699838763436,0.306933410023946,0,0,0.0843125940036665,0,-0.0484278872809893,0,0,-0.0644503013194893,0.310721321058893,-0.0152371994331499,0,0,0,0,0
TRX,0,0.131644866940697,0,0,0,0.0648591032374545,0.0210039501699514,0.205234360275165,0,0,0.223806100456,0.162841424452617,0.113526841845938,0,0.0836823469435999,0,0,0,0,0.173334728271812
BSV,0,0,0.133135896656553,0.255274709332711,0.161334126109954,0,0.0843880915870091,0,0.0601634185848798,0.115727385035235,0,0,0.101659684817425,0,0.0586618326563049,0,0.184579253131983,0,0,0
XMR,0,0,0,-0.0196340309885752,0,0.0508958744851199,0.167811427651995,0.19160498994482,0,0.324051628912679,0,0,0.0898441495642995,0,0.0424256239965467,0,0,0,0,0
DASH,0,0.145972432597357,0.0293818478963412,6.93889390390723e-18,0.0622217585813175,0,0.145247515386568,0.156086571828669,0,0,0,0.203630995965064,0,0,0,0,0.101423074632781,0,0,-0.0886695865430791
MIOTA,0,0.32659243291681,0.262965291264051,-0.0136544227091303,0,0,0.0257797534820973,0.0438348782098786,0.105866434724932,0,0,0.0607023805346174,0,0,0,0,0,0,0,0
XTZ,0,0,1.07317916857467,-0.234394307855628,0,0.435112537395908,-0.147823073793883,0,0.190128072823021,6.93889390390723e-18,-0.141686657591919,-0.464242812926827,-0.251482593671862,0,0,0,-0.798850774937076,0,0,-0.0028079579799875
BV010082.Index,0,0,0,0.0177275097847046,0.132729577572828,0,0.0546832370012798,-0.11903397787654,-0.34709370483695,0.199531884275476,0.179278182523597,0,-0.011281520890193,0,-0.105322932364873,0,-0.190324998075568,0,0,-0.082438097940682
CVIX.Index,0,0,0.147151875557643,-0.259848439366657,0.302107377551323,0,-0.214044741922587,0.380454858719129,0.242740884251244,0,-0.318998253286191,-0.402685726707127,0.240421401792831,0,-0.343712008682932,-0.0502054220315173,0,0,0,-0.0402820456640272
DXY.Curncy,0,0,0,0.00217886748003176,0,0,0.0100190110939964,0.0207060628161467,-0.00255365191855954,0,0.0146093836983718,0,0.0191050053715679,-0.0628241146284625,0.00406928180053814,0,0,0,0,0.00920844175782498
SPX.Index,0,0,0.0199251982703487,0.0104599610738653,2.16840434497101e-19,0.0114534435487994,0.00605331307675502,0,-0.0338338736456234,0.0103380380317355,0,0.0416734595369885,-0.0145373033974261,-0.0201393199516844,0.00455680401069806,0,0,0,0,-0.0762750246290719
VIX.Index,0,0,0,0,0,-0.450612352138639,0.0496262145626425,0,0.00403746067764926,0.251014062555243,0.305901604937317,0,-0.229094462590196,0.274230669663838,0.0704248666681105,-0.527048202614768,0,0,-3.92451396295229,0
