,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.188589862438663,0,-0.0365213520770566,-0.111732839349207,0.0742863841671331,0.134900206234401,0.134260392347685,0.0573019517053999,-0.0120995568103472,0.0862082232610897,-0.187430964855578,0.364226807376732,-0.0280897501834063,-0.122922599781813,0,0.25793891336155,0,0,0.112402213423167
ETH,0,0,0,0,0,0.343051428677499,0.168255138768557,0.13367405006075,0.11721892069349,6.93889390390723e-18,0,0,0,0.0437811129174875,-1.38777878078145e-17,0,0,0,0,0
XRP,-0.0782209588554931,0,0,-6.93889390390723e-18,-0.0880018230731434,0,0,0,0.308662371768641,0.223980578977231,0,0,0.403105360474508,0.188250748829361,0,0,0,0,0,0.0473306027378773
BCH,0,0,-0.0767572579714751,0,0,0.124560764395578,0.213013517291709,0.0240589538732444,0.176318896340846,0,0,0.231665394924272,0.1472261997659,0,0.106208374075552,0,0,0,0,0
ADA,0,0,0.171101233738697,0,0,0.0149604028345024,0.228190597932369,0.231381621619284,0.0554216099103567,0.114966870858682,0.0601213792262852,0,0,0.03334351251612,0,0,0,0,0,0
LTC,0.236107040518017,0,0,-0.0758428439249791,0,0,0,0,0.0401783273233619,6.93889390390723e-18,0.253304544612896,0,0,0.0167453969508883,0.114863775312059,0,0,0,0,0
NEO,0.224554846116981,0.313240668748197,0.0719489727454365,-2.16840434497101e-19,0,0,0,0.130086534414672,-0.0111857466309014,0,-0.13450024854911,0.157437734264667,0.0539182764363891,-0.0236036716787116,0.334037284450146,0,0,0,0,0
XLM,0.196137262148184,0.00451414837819513,0.1751801382283,0.115039818370602,0.305318549941319,0.150080477857997,0.151453151023044,0,0,0,0.0857217589249917,0,0.0267418578188288,-0.182747046847654,0,0,0,0,0,0.0392145205708972
EOS,-0.0675650626228481,0,0,0.268606387834035,0.0235959761896609,0.241289724712034,-0.0435107858864234,0.217199583688701,0,0.0510641094511956,0.0401662571306805,0,0,0.152953234249984,0.116674103265129,0,0,0,0,0
XEM,0,0,0.332977542492775,0.0695236572142057,0.0420715884309835,0,0,0.0136406141036445,0.0878754158288183,0,0.189448065911778,0,0,0,0,0,0,0,0,0
MIOTA,0.211544683457067,0,-0.096472759218707,0,-0.0756156010108293,0,-0.287431660396845,0.0882347520706945,0.333142999004925,0.231624441769718,0,0.119536482156646,0,-0.0915228068954157,0.578614260526962,0,0,0,0,0
DASH,0,0,0.0122030199823374,0,0,0.205774468645597,0,0,0.0831793028509795,0,0.0727172953355023,0,0.14914873523851,0,0.228186175739753,0,0,0,0,0
XMR,0.10336695618703,0,0,0.191618260884337,0,0.0366209894139616,0.0487027318764487,0.0948233808190318,0,-0.0100608492580484,0,0.228024283477862,0,0.0585136078141448,0.081276403601654,0,0,0,0,0
TRX,1.31058551594044,0.536587168329384,0.225420135659461,0.255997533662503,0,-1.11188982747844,-0.768229183604206,0,0.201160719986763,-0.454805864183568,0,0,0.279872008247582,0,0.391375372933208,0,0,0,0,0.279407573208008
ETC,0.112691406351163,0,0.0988720931625211,0.0134034909778598,0,0,0.0198850706250479,1.73472347597681e-18,0,0,0.360950070596003,0.099574841661793,0.309668669452385,0.0633270294339123,0,0,0,0,0,0.0766225058770169
BV010082.Index,-0.0543461042126775,0,0,0,-0.0287737596722373,0.0139889304978552,-0.0119688672505667,-0.00669309567965383,0.0120369320800413,-0.000950580119838083,0.0066633802690664,0,0.0281535282811918,0.00562632590633701,0,0,0,0,0,-0.0326730887512083
CVIX.Index,0.0377086777615156,0.0502585163332737,0,-0.00726062313210515,0.0599689050674298,0.00402536190751997,0.0183129687474101,-0.0218498939830805,0,0.0254018108745932,0.0290073178434138,-1.73472347597681e-18,-0.0601266822558303,-0.0136793996743824,-0.0909524380665371,0,0,0,0,0.0309491105770335
DXY.Curncy,-0.00438289141403444,0.0110306104400117,0.00406823878906075,0,0,0,0.0151872773968181,-0.0144334407947021,-0.0131954206723224,0.00274408200272814,0,0,0,0.00661179718521739,-0.0127904780402785,0,-0.0559593724773037,0,0,-0.0215168406632002
SPX.Index,0,0,0,0,0,0,0.0111579983850624,0,0,0,0,0,0,0.00465635070570239,0,0,0,0,0,-0.0736454769712997
VIX.Index,-0.0071202885432767,0,0,0,-0.0433188770056074,-0.0516980241673125,0.161455333016728,0,0,-0.00855879600821443,0,0,0,-0.0170853341181845,0.0729540653800729,-3.46211345633279,-0.97083322902543,0,0,0
