,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.288672768104692,0.0203747845060942,0.12865176582865,0.0712708207714583,-1.73472347597681e-18,0,0.0365517598143567,0,0.0474987349856084,0,0.0236628340675651,3.46944695195361e-18,0,0,0,0,0
ETH,0,0,0,0.0995843936471469,0.273060097273095,0.118806911155002,0.156024796653236,0.0685806339093961,0,0,0,0,0,4.33680868994202e-19,0.187598534046282,0,0,0,0,0
XRP,0,-0.711661334938565,0,0,0.0528710226458939,0.288984323687669,0,0.0484003001186986,0.0780737753159225,1.73472347597681e-18,0.020138779017319,0.631846008938329,0.139623830844922,0.094004938411212,0.331470249164681,0,0,0,0,-0.00505329712216934
BCH,0.209918956818623,0,0,0,0.192989220822978,0,0.141974354770932,0,0.196326208216552,0,0,0.25159540840547,0,-0.0254534945163599,0.0984782619214122,0,0,0,0,-0.0210981719304549
LTC,0.0312775158602613,0,0,0.192140039766085,0,0,0,-0.00654191766269032,0,0.0739284889551036,0.0912018981184204,0.123026392833931,8.67361737988404e-19,0.0231326606343227,0.116665543995118,0,0,0,0,0
ADA,0,0,0.079309820418146,0,0.0532748020701546,0,0.0626416020923356,0.0668797551636925,0.0152789584240769,0,0.377851753481736,0.0619111777217317,0.155641191827743,3.46944695195361e-18,0,0,-0.153239329783635,0,0,0
NEO,0,0.463092901665485,0,0.141988895801616,0,0.0907361543029132,0,0,0,0,0,0,0,-0.0452587693426805,0.314221652840178,0,0,0,0,-0.0187994976327624
XLM,0,0.232940061149793,0.0769655689874157,0.166602274066876,0,0.349713791747111,0.0452928518461979,0,0.200063034217732,-0.0459185496209567,0.366781208009669,0,0.0345683853004103,-0.172907208535611,-0.151881268572074,0,0,0,0,0.0508454516325308
XMR,0,0,0,0,0.210995823914096,0.115292773759391,0.204824391034879,0.0391297660710837,0,0,0.100111431316232,0.0817151782234694,0,0.0452140553026645,0.0704942125202116,0,0,0,0,0.0475934309852329
EOS,0.0934886615966252,0,0,0.133957005877867,0,0,-0.357923005780157,-0.0178833944393972,0.216004744888748,0,-0.0818573443769297,0.253538577491859,0.176513173813514,0.102141991127938,0.374966031681007,0,0,0,0,-0.0474940103164658
MIOTA,-0.0694423508777217,0,0.174019760351438,0.212026577755216,0.125909989673589,0.125905032161653,0,0,0.208744872614446,0,0,0.101725292610535,0.0363289176888242,-0.0438438903471534,0,0,0,0,0,0
DASH,0,0.241899824017151,0.16860180289241,0.0360343120818905,0,-0.0303481631003916,0,8.67361737988404e-19,0.291487782345005,0.175633012815245,0.0983408492138223,0,-0.189529214264246,0,0.0237785491132943,0,0.195479152399785,0,0,0.0403328307591494
XEM,0.249062862407187,-0.186362362240043,0,3.46944695195361e-18,0.238762867485242,0.1656590659985,0.177260312676313,0.258299040423914,0,0,0,0,0,0.058779503935437,0,0,0,0,0,0.0892966927377112
TRX,1.44218725827231,0,0.292692042945875,0,-0.77125107333589,0.129144298448603,-0.431663823291568,0,-0.351710912364649,0,0,0,0.372411026927046,0,0.404146614226041,0,0,0,0,0.210951269186778
ETC,0,0.351470819594231,0.285603948306995,0,-0.170137979871386,-0.187164132598136,0.0279198216183771,0,-0.0877436226198984,0.0548899473597948,0.53149487688948,0.243200785886806,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0694849202124199,0,0.08598220228974,-0.0245432779256918,-0.0519069122798926,-0.00308538713279782,0,0,0.00900922676920715,0,0.0262332373686309,0.0756420174066035,-0.0257673275758984,0.0274805675958715,0,0.111275502262871,0,0,-0.0569534886315512
CVIX.Index,0,0,0,0.0312535138294469,0,0.198200240039239,-0.0246600597400145,-0.0392618448715414,-0.063856426645397,0,-0.105774147827172,0,0,-0.0265202281514998,0,0,0,0,0,0.0719491493589068
DXY.Curncy,-0.00946654861474781,0.0193830303595207,0.0215006590727067,0,0,0,-0.00187650646595728,-0.0124203590977251,0,-0.0199822272945067,0,-0.0196355231948057,0.00718580277987681,-0.00761004279846798,0,-0.0278659779162211,-0.0553868847586266,0,0,0
SPX.Index,0,-0.0193645922338735,0,0,0,0,0,0,0.0259750167504273,0,0,0,0.0163135912576835,-0.0482433424899736,0,0,0,0,0,-0.0696683683562603
VIX.Index,-0.730608353974619,0,-0.150699609908636,0.290439914068318,0,0,0.0803683960832627,0.0773181903706958,0.233837805722845,0.238460915502927,-0.655967399528891,0,0,0.100134055617405,0.304030996688606,-2.63081624091622,0.561670531123989,0,-3.62566340064376,0
