,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.284401269459283,0,0,0.0569573253226875,0.00344052045245086,0,0,0,0.0528546898029887,0.145529840269629,0,0,0,0,0,0
ETH,0,0,0,0,0.34167255412115,0,0.0452463917455334,0.143235623337567,0,0,0,0.107137483655007,0,0.218662849213999,0.0174605294243128,0,0,0,0,0
XRP,-0.226658504230645,-0.306694638248444,0,0,0,0,0.25530342039146,0,0.335411846451101,0,0.0313108687079644,0.238512414300797,0.306197658620193,0.183979494971941,0.0318832944502715,0,0,0,0,0.0589356581952287
BCH,0,0,-0.0818807816472557,0,0.14391571860903,0.0191289063354821,0.013287967863658,0.204144012029237,0.154554369780835,0,0.201672324602641,0,0.176443102821847,0.117002073343442,0,0,0,0,0,0
LTC,0.303989042014561,0,0,-0.0827103837575305,0,-0.0148646433616594,0,0,0.0638006404050324,0.234289557782861,0,0,0,0.124763572734588,0,0,0,0,0,0
ADA,0,0,0.123833191261087,0,0,0,0,0.137589784312638,0,0,0,0.320320747658576,0,0,0.0146862074526024,0,0,0,0,0
XLM,0,0,0.162936905805889,0.127118750474046,0.290565721355203,0.309821301018819,0,0.123521425318859,-0.0619929965538164,0.0322320193030405,0,0.0907360527434332,0.0902732614234131,0,-0.165416761356408,0,0,0,0,0
NEO,0.171545787872664,0.59665088193823,0.0368399635582905,0,0.0535576245203855,0,0.211414136300229,0,-0.0542780950935746,-0.0948540208725379,0.0798524937316304,0,0.172229886438817,0.0548006205946111,0,0,0,0,0,0
EOS,0,0,0.0536574654228307,0.254209378126893,0.166502713572786,0.0135362411149293,0.176933504490378,-0.0655749109502581,0,0.153589719309773,0,0,0,0.0856574454035096,0.17574718887171,0,0,0,0,0
MIOTA,0,0,-0.0194541326049894,0,0.361457249988532,-0.10685094861157,0.0341116732025987,0,0.359503044087227,0,0,0.187047596903436,0,0.290361411531833,0.0199482742134596,0,0,0,0,0
DASH,0,0.0212303129683082,0.0335774454034472,0.0740950757204851,0.0755255063073403,0,0,0,0.083812977128174,0.091306742398303,0,0,0.190388143134524,0.198250989249104,0,0,0,0,0,0.12719535311966
XEM,0,0,0.331308010551961,0.122072746245383,0,0,0.121626273092702,0,0,0.18112595539146,0,0,0,0,0.0384404407108238,0,0,0,0,0
XMR,0,0,0,0.220000786018313,0.166059228355639,0,0.061955093804703,0.162735465142398,0,0,0.0688349025330529,0,0,0.141679553476171,0.0732475675387592,0,0,0,0,0
ETC,0.128213335596636,0.18729882381819,0.180073073912165,0.0501490273502686,-0.088021547851045,0,0,0.129135337850321,0.0149463459812061,0.35470456949879,0,-0.0841655609376233,0.117284839303022,0,0.0646908520450146,0,0,0,0,0.114819909848552
TRX,1.03843368161977,0,0.0798548746874717,0.341675998824705,-0.896039728782095,0.2605393887691,0,-0.472552950873866,0,0.435274668525018,0.117088597628319,-0.721635939484191,0,0.549560936837532,0,0,0,0,0,0.202982587026989
BV010082.Index,0,0,-0.00888795438512023,0.00159131864339733,0.0209772253863962,-0.00482523803666779,-0.0489638976604083,0,0,0.0239000249072608,0,0,0,0.0171602948592725,-0.00568426112957165,0,0,0,0,-0.0390167540079554
CVIX.Index,0,0,-0.00961562321740219,0,0.00775704187796147,0.0619582329914233,-0.0360525234940795,0,0,0.0181446541284198,-0.0614345189157377,0.0538758487983512,-0.0319758352343821,-0.0107201142935776,-0.0115323909795666,0,0,0,0,0.0322123306332421
DXY.Curncy,0,0.00494947215171747,6.71334739550383e-05,0.00457527022605649,-0.000950613510151228,0,0,0,-0.0228240333408572,0,0,0,0,0,0.00284740365055693,0,-0.0148144670525153,0,0,-0.0190269420845482
SPX.Index,0,0,0.0119222151082581,0.0325590780539862,0.0142039939808534,-0.0202586227713656,-0.0102648791638499,0.0326949101464511,0.00594049276422469,0,0,0.0223271190049912,0,-0.0849650783155644,-0.00665680016703492,-0.15576432282206,0,0,0,-0.113898260157934
VIX.Index,-0.0954771657697042,0,0,-6.93889390390723e-18,0.366335118511646,0.0566605682357925,0,0.177796674521514,0,0,-0.486212230476903,-0.135036615603401,0.0498392915108306,0.143293161375943,0.0470981999034014,-1.97794404160243,-0.231202723084726,0,-4.70861588985057,0
