,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0542220845572261,0.16196627898901,0.142223416345483,0.0532523054174887,0.0340891322431951,0,0.0542847972779427,0,0.0198620741061315,-0.00335172542132095,0.0788055865699493,0,0,0,0,0
ETH,0,0,0,0,-0.0239220283768756,0.390409236927622,0.14911367107122,0.0418989007302117,0.0344782033333284,0,0.19884642729179,0,-0.10182050603114,0.0262386996815179,0.220528627293254,0,0,0,0,-0.050484142260324
XRP,-0.393293030271048,0,0,-1.73472347597681e-18,-0.0812781450161482,0.0901978928108164,0,0.358031345191263,0.359153420227258,0,0.101711038562333,0,0.416143651000345,0.148814450811639,0,0,0,0,0,0.0570855065344932
BCH,0,0,-0.0767572579714751,0,0,0.124560764395579,0.213013517291709,0.0240589538732445,0.176318896340846,0,0,0.231665394924271,0.147226199765901,0,0.106208374075553,0,0,0,0,0
ADA,0,0,0.1462544589137,0,0,0,0.162559428543145,0,0.0260840288665914,0,0.257192357302355,0,0,0.0446227459723717,0,0,0,0,0,0
LTC,0.432997909209926,0,-1.0842021724855e-19,-0.0672870125559675,-0.0279834745763177,0,0,0,0.0769422348362474,0.225810837184973,-0.0156192920033207,0,0,0.012982429507482,0.0694789960667201,0,0,0,0,0
NEO,0.221926234522346,0.49508149569534,0.0447594925535968,0,0,0,0,0.246817053355568,-0.031920511866689,-0.0677821957159655,0,0,0.191716644831533,0,0.097268566523041,0,0,0,0,0
XLM,0.109789632452704,0.0353117778525214,0.183579160706808,0,0.329431176448631,0.128073632921077,0.175000917522078,0,-0.0517667626875129,0.184671675509739,0.0884846360014359,0,0,-0.177377980230075,0,0,0,0,0,0.0436736523330583
EOS,0,0,0.00675084437715677,0.202133175415617,-0.0456987567703289,0.304494976563815,-0.157620514838477,0.0133033449057102,0,0.15675767978412,0,0,0,0.220208677972957,0.259543988895921,0,0,0,0,-0.114168237013787
MIOTA,0,0,-0.0447111722820455,0,-0.099585678208349,0.338939472081789,-0.213211362106927,0.162510422480565,0.144316376383737,0,0.287960912061587,0,0,-0.044560617984504,0.593037426341392,0,0,0,0,0
XEM,0.0564503902370342,0,0.303058875975038,0.144482097047521,0,0,0,0.0871607089171258,0,0.16717654798951,0,0,0,0.0339852762108386,0,0,0,0,0,0.0778924946307669
DASH,0,0,0,0.127505153758048,0,6.93889390390723e-18,0,0,0.060384024921866,0.0335130443397821,0,0,0.221247125213585,0,0.268353719158215,0,0,0,0,0
XMR,0.0160598593947617,0,0,0.19407138305164,0,0.0591159931309042,0.108279277136163,0.0499010896516553,0,0,0,0.0083712281513105,0,0.0648494997381198,0.325585507567994,0,0,0,0,0
TRX,1.08633777634419,0,0.257046342792374,0.236662210624415,0,-0.9259528197984,-0.350931691148393,0,0.202573196682834,0.49897394871835,-0.78616690066582,0,0,0,0.45962558880856,0,0,0,0,0.21453959333457
ETC,0.135966715994502,0,0.112293573658012,0.0218164647625317,0,0,0.0363407240714515,0,0,0.338905267054251,0,0.0929403328382018,0.285829569807216,0.0567956290622558,0,0,0,0,0,0.0919679866134243
BV010082.Index,-0.0237072567728014,0,0,0.00964968964195064,-0.0108187677832949,0.0450331242576222,0,-0.0323342034095739,0,0.02389919878197,-0.0201168155689672,0,0,0,0,0,0,0,0,-0.0343519183144668
CVIX.Index,0,0,0,-0.00623042839318654,0.0559787366795186,0.00562783819265165,0,-0.0406480037650458,0,0.0240907801936198,0.0545455961414646,-0.0751667142867098,-0.0233615609277264,-0.0127768947755084,-0.00283273001780381,0,0,0,0,0.0311219817448476
DXY.Curncy,0,0.00435215952621278,0.00155007956108531,0.00428313667738964,1.0842021724855e-19,0,0,-0.00187502136041922,-0.0223572825488792,0,0,0,0,0.00392106518480761,0,0,-0.0145110338261007,0,0,-0.0218461020683064
SPX.Index,0,0.00785063944571477,0.0182718142783836,0.035795246429646,-0.0310286649617411,0,0.0517765363574443,-0.0106263263116218,0.0202251853461434,0,0.0189646368230184,0,-0.0126694755635625,-0.00432340226401411,-0.100265361864831,-0.0961268795822371,-0.0157591595568977,0,0,-0.100119999239748
VIX.Index,-0.396627409717487,0,0,0,0,0.153863378175483,0.272601317556175,0,0.113978950580826,-0.123877325358907,-0.102560499800946,-0.203207814751031,0,0.0359581448762949,0.248886454816824,-1.77482003770246,-0.286632147762776,0,-3.45600913231788,0
